user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained,DoW,channel_code,is_correct_lang
a100000029,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000030,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000031,2018-01-01,House Ads,personalization,True,English,English,24-30 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000032,2018-01-01,House Ads,personalization,True,English,English,30-36 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000033,2018-01-01,House Ads,personalization,True,English,English,36-45 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000034,2018-01-01,House Ads,personalization,True,German,German,45-55 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000035,2018-01-01,House Ads,personalization,True,English,English,55+ years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000036,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000037,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000038,2018-01-01,House Ads,personalization,True,English,English,24-30 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000039,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,NaT,House Ads,True,0,1,Yes
a100000040,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,2018-01-18,House Ads,False,0,1,Yes
a100000041,2018-01-01,House Ads,personalization,True,Arabic,Arabic,24-30 years,2018-01-01,2018-02-22,House Ads,False,0,1,Yes
a100000042,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,2018-03-09,House Ads,False,0,1,Yes
a100000043,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,2018-02-18,House Ads,False,0,1,Yes
a100000044,2018-01-01,House Ads,personalization,True,Arabic,Arabic,24-30 years,2018-01-01,2018-03-03,House Ads,False,0,1,Yes
a100000045,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,2018-02-04,House Ads,False,1,1,Yes
a100000046,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,2018-01-09,House Ads,False,1,1,Yes
a100000047,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,2018-02-04,House Ads,False,1,1,Yes
a100000048,2018-01-02,House Ads,personalization,True,German,German,0-18 years,2018-01-02,2018-01-21,House Ads,False,1,1,Yes
a100000049,2018-01-02,House Ads,personalization,True,German,German,19-24 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000050,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000050,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000051,2018-01-02,Push,personalization,True,English,English,30-36 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000051,2018-01-01,House Ads,personalization,False,English,English,30-36 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000052,2018-01-02,House Ads,personalization,True,English,English,36-45 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000052,2018-01-01,House Ads,personalization,False,English,English,36-45 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000053,2018-01-02,House Ads,personalization,True,English,English,45-55 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000053,2018-01-01,House Ads,personalization,False,English,English,45-55 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000054,2018-01-02,House Ads,personalization,True,English,English,55+ years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000054,2018-01-01,House Ads,personalization,False,English,English,55+ years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000055,2018-01-02,Push,personalization,True,English,English,0-18 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000055,2018-01-01,House Ads,personalization,False,English,English,0-18 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000056,2018-01-02,Facebook,personalization,True,English,English,19-24 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000056,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000057,2018-01-02,Instagram,personalization,True,English,English,24-30 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000057,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000058,2018-01-02,Instagram,personalization,True,English,English,0-18 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000058,2018-01-01,House Ads,personalization,False,English,English,0-18 years,2018-01-02,NaT,House Ads,True,1,1,Yes
a100000059,2018-01-02,Facebook,personalization,True,English,English,19-24 years,2018-01-02,2018-02-19,House Ads,False,1,1,Yes
a100000059,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-02,2018-02-19,House Ads,False,1,1,Yes
