,date,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20,station
0,2004-01-01,42.0,1203.0,1033.0,0.0,0.0,0.0,3.9,7.2,0.6,,330.0,270.0,0.0,80.0,116.0,,,,,,,,,,,,,,,,,,,,,,,USW00014765
1,2004-01-02,17.0,1807.0,1827.0,36.0,36.0,0.0,0.0,2.8,-3.3,,20.0,30.0,0.0,54.0,58.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,USW00014765
2,2004-01-03,17.0,1849.0,1612.0,23.0,0.0,0.0,6.1,10.0,1.7,,220.0,240.0,0.0,40.0,54.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,USW00014765
3,2004-01-04,21.0,2320.0,2330.0,66.0,0.0,0.0,7.2,11.1,3.3,,30.0,10.0,0.0,76.0,94.0,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,USW00014765
4,2004-01-05,38.0,1037.0,450.0,117.0,0.0,0.0,2.2,3.3,1.1,,50.0,50.0,0.0,63.0,76.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,USW00014765
5,2004-01-06,55.0,2033.0,1905.0,3.0,3.0,0.0,-1.7,2.8,-6.7,0.0,320.0,260.0,0.0,103.0,143.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,USW00014765
6,2004-01-07,57.0,1357.0,1356.0,0.0,0.0,0.0,-6.1,-3.9,-8.3,,270.0,270.0,0.0,103.0,134.0,,,,,,,,,,,,,,,,,,,,,,,USW00014765
7,2004-01-08,54.0,1200.0,1140.0,0.0,0.0,0.0,-6.7,-4.4,-9.4,,290.0,310.0,0.0,112.0,143.0,,,,,,,,,,,,,,,,,1.0,,,,,,USW00014765
8,2004-01-09,56.0,1433.0,1432.0,0.0,0.0,0.0,-12.8,-8.9,-16.7,,360.0,360.0,0.0,103.0,130.0,,,,,,,,,,,,,,,,,,,,,,,USW00014765
9,2004-01-10,52.0,1010.0,2012.0,0.0,0.0,0.0,-13.3,-8.9,-18.3,,10.0,310.0,0.0,80.0,103.0,,,,,,,,,,,,,,,,,,,,,,,USW00014765
10,2004-01-11,38.0,1625.0,1625.0,0.0,0.0,0.0,-9.4,-2.8,-16.7,,200.0,200.0,0.0,67.0,76.0,,,,,,,,,,,,,,,,,,,,,,,USW00014765
11,2004-01-12,29.0,17.0,16.0,20.0,36.0,25.0,-1.7,0.6,-3.9,0.0,250.0,250.0,0.0,67.0,89.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,USW00014765
12,2004-01-13,64.0,1738.0,1738.0,0.0,0.0,25.0,-2.2,6.1,-10.6,,300.0,290.0,0.0,156.0,206.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,USW00014765
