,station,date,element,value
0,USW00014765,20040101,TMAX,72
1,USW00014765,20040101,TMIN,6
2,USW00014765,20040101,PRCP,0
3,USW00014765,20040101,SNOW,0
4,USW00014765,20040101,SNWD,0
5,USW00014765,20040101,AWND,42
6,USW00014765,20040101,FMTM,1203
7,USW00014765,20040101,PGTM,1033
8,USW00014765,20040101,TAVG,39
9,USW00014765,20040101,WDF2,330
10,USW00014765,20040101,WDF5,270
11,USW00014765,20040101,WESD,0
12,USW00014765,20040101,WSF2,80
13,USW00014765,20040101,WSF5,116
14,USW00014765,20040102,TMAX,28
15,USW00014765,20040102,TMIN,-33
16,USW00014765,20040102,PRCP,36
17,USW00014765,20040102,SNOW,36
18,USW00014765,20040102,SNWD,0
19,USW00014765,20040102,AWND,17
20,USW00014765,20040102,FMTM,1807
21,USW00014765,20040102,PGTM,1827
22,USW00014765,20040102,TAVG,0
23,USW00014765,20040102,WDF2,20
24,USW00014765,20040102,WDF5,30
25,USW00014765,20040102,WESD,0
26,USW00014765,20040102,WSF2,54
27,USW00014765,20040102,WSF5,58
28,USW00014765,20040102,WT01,1
29,USW00014765,20040102,WT02,1
30,USW00014765,20040102,WT13,1
31,USW00014765,20040102,WT16,1
32,USW00014765,20040102,WT18,1
33,USW00014765,20040102,WT22,1
34,USW00014765,20040103,TMAX,100
35,USW00014765,20040103,TMIN,17
36,USW00014765,20040103,PRCP,23
37,USW00014765,20040103,SNOW,0
38,USW00014765,20040103,SNWD,0
39,USW00014765,20040103,AWND,17
40,USW00014765,20040103,FMTM,1849
41,USW00014765,20040103,PGTM,1612
42,USW00014765,20040103,TAVG,61
43,USW00014765,20040103,WDF2,220
44,USW00014765,20040103,WDF5,240
45,USW00014765,20040103,WESD,0
46,USW00014765,20040103,WSF2,40
47,USW00014765,20040103,WSF5,54
48,USW00014765,20040103,WT01,1
49,USW00014765,20040103,WT02,1
50,USW00014765,20040103,WT13,1
51,USW00014765,20040103,WT16,1
52,USW00014765,20040104,TMAX,111
53,USW00014765,20040104,TMIN,33
54,USW00014765,20040104,PRCP,66
55,USW00014765,20040104,SNOW,0
56,USW00014765,20040104,SNWD,0
57,USW00014765,20040104,AWND,21
58,USW00014765,20040104,FMTM,2320
59,USW00014765,20040104,PGTM,2330
60,USW00014765,20040104,TAVG,72
61,USW00014765,20040104,WDF2,30
62,USW00014765,20040104,WDF5,10
63,USW00014765,20040104,WESD,0
64,USW00014765,20040104,WSF2,76
65,USW00014765,20040104,WSF5,94
66,USW00014765,20040104,WT01,1
67,USW00014765,20040104,WT08,1
68,USW00014765,20040104,WT13,1
69,USW00014765,20040104,WT16,1
70,USW00014765,20040105,TMAX,33
71,USW00014765,20040105,TMIN,11
72,USW00014765,20040105,PRCP,117
73,USW00014765,20040105,SNOW,0
74,USW00014765,20040105,SNWD,0
75,USW00014765,20040105,AWND,38
76,USW00014765,20040105,FMTM,1037
