year,life_expectancy
1800,24.34111538461538
1801,24.31242307692308
1802,24.32369230769231
1803,24.257153846153845
1804,24.310423076923076
1805,24.400269230769233
1806,24.441576923076923
1807,24.408461538461545
1808,24.25665384615385
1809,24.205384615384617
1810,24.36873076923077
1811,24.33792307692308
1812,24.330846153846156
1813,24.326576923076924
1814,24.364538461538462
1815,24.465884615384617
1816,24.450499999999998
1817,24.523192307692305
1818,24.40969230769231
1819,24.343115384615384
1820,24.398923076923076
1821,24.445153846153847
1822,24.523615384615383
1823,24.561153846153843
1824,24.513499999999997
1825,24.48088461538461
1826,24.427153846153843
1827,24.455192307692307
1828,24.412115384615383
1829,24.398269230769234
1830,24.460230769230773
1831,24.432923076923075
1832,24.405423076923075
1833,24.40165384615385
1834,24.39211538461538
1835,24.486769230769234
1836,24.460692307692305
1837,24.41426923076923
1838,24.46115384615384
1839,24.453769230769232
1840,24.51753846153846
1841,24.52942307692308
1842,24.53296153846154
1843,24.521307692307687
1844,24.56692307692308
1845,24.60353846153846
1846,24.388384615384616
1847,24.443923076923078
1848,24.442153846153854
1849,24.325692307692307
1850,24.456846153846154
1851,24.562961538461536
1852,24.57288461538462
1853,24.571961538461544
1854,24.40842307692308
1855,24.510192307692307
1856,24.519115384615386
1857,24.52065384615385
1858,24.52473076923077
1859,24.501230769230776
1860,24.557346153846154
1861,24.533038461538467
1862,24.483807692307693
1863,24.52319230769231
1864,24.47157692307692
1865,24.44111538461538
1866,24.352807692307692
1867,24.35926923076923
1868,24.160807692307696
1869,24.39196153846154
1870,24.563730769230773
1871,24.51480769230769
1872,24.56980769230769
1873,24.623115384615385
1874,24.657384615384622
1875,24.565000000000005
1876,24.70334615384615
1877,24.754384615384623
1878,24.713000000000005
1879,24.83542307692308
1880,24.828153846153842
1881,24.86446153846154
1882,24.81811538461538
1883,24.92242307692308
1884,25.02226923076923
1885,25.061307692307697
1886,25.09661538461539
1887,25.128538461538458
1888,25.148230769230786
1889,25.133615384615386
1890,24.963461538461534
1891,25.105961538461546
1892,25.108307692307697
1893,25.150576923076922
1894,25.31611538461539
1895,25.36607692307693
1896,25.430538461538458
1897,25.483923076923087
1898,25.50696153846154
1899,25.482923076923086
1900,33.013383084577114
1901,33.1802487562189
1902,33.25567164179104
1903,33.26746268656717
1904,33.311044776119395
1905,33.348109452736324
1906,33.45611940298507
1907,33.566169154228845
1908,33.66716417910447
1909,33.89875621890548
1910,34.035024875621865
1911,34.13796019900497
1912,34.33437810945274
1913,34.342587064676614
1914,34.080696517412925
1915,33.716318407960195
1916,33.814129353233824
1917,33.66228855721392
1919,33.76980099502486
1920,33.97532338308457
1921,34.43004975124379
1922,34.77472636815921
1923,35.47875621890548
1924,35.76895522388061
1925,35.943930348258704
1926,36.35378109452736
1927,36.550796019900496
1928,36.88109452736319
1929,36.92855721393033
1930,37.40895522388059
1931,37.41766169154229
1932,37.44039800995024
1933,37.27019900497513
1934,38.72363184079603
1935,39.11462686567164
1936,39.59726368159203
1937,39.918606965174135
1938,40.44293532338308
1939,40.91283582089552
1940,40.90089552238807
1941,39.609402985074624
1942,39.49726368159203
1943,39.33741293532339
1944,39.12497512437809
1945,40.94522388059702
1946,44.316417910447775
1947,44.87860696517413
1948,46.94870646766167
1949,48.06383084577114
1950,49.259752475247524
1951,49.508514851485174
1952,50.15594059405943
1953,50.8228712871287
1954,51.510643564356464
1955,52.10415841584158
1956,52.6541584158416
1957,53.13054455445543
1958,53.74242574257425
1959,54.187475247524745
1960,54.73282178217823
1961,55.242029702970285
1962,55.695841584158416
1963,56.21504950495045
1964,56.737425742574246
1965,57.13509900990102
1966,57.57252475247525
1967,58.017623762376246
1968,58.39044554455446
1969,58.75915841584158
1970,59.238564356435646
1971,59.67975247524755
1972,60.10425742574255
1973,60.4839108910891
1974,60.87163366336629
1975,61.199653465346536
1976,61.61168316831682
1977,62.03108910891092
1978,62.42000000000004
1979,62.830297029703004
1980,63.220445544554465
1981,63.657772277227735
1982,64.08361386138614
1983,64.44564356435642
1984,64.81445544554457
1985,65.13168316831684
1986,65.54579207920796
1987,65.86806930693074
1988,66.14440594059405
1989,66.40247524752476
1990,66.78461538461542
1991,66.84466346153847
1992,67.02687500000002
1993,67.0925
1994,67.00610576923079
1995,67.21999999999998
1996,67.41240384615388
1997,67.62354066985648
1998,67.76234449760766
1999,67.93488038277515
2000,68.07770334928229
2001,68.43794258373205
2002,68.65325358851676
2003,68.93555023923444
2004,69.1842105263158
2005,69.524019138756
2006,69.85019047619049
2007,70.13971153846158
2008,70.44716346153844
2009,70.76774038461538
2010,70.96990384615385
2011,71.32437500000002
2012,71.66307692307699
2013,71.91610576923075
2014,72.088125
2015,72.32100961538464
2016,72.5566346153846
