,country,year,life_expectancy
0,Abkhazia,1800,0.0
1,Afghanistan,1800,28.21
2,Akrotiri and Dhekelia,1800,0.0
3,Albania,1800,35.4
4,Algeria,1800,28.82
5,American Samoa,1800,0.0
6,Andorra,1800,0.0
7,Angola,1800,26.98
8,Anguilla,1800,0.0
9,Antigua and Barbuda,1800,33.54
10,Argentina,1800,33.2
11,Armenia,1800,34.0
12,Aruba,1800,34.42
13,Australia,1800,34.05
14,Austria,1800,34.4
15,Azerbaijan,1800,29.17
16,Bahamas,1800,35.18
17,Bahrain,1800,30.3
18,Bangladesh,1800,25.5
19,Barbados,1800,32.12
20,Belarus,1800,36.2
21,Belgium,1800,40.0
22,Belize,1800,26.5
23,Benin,1800,31.0
24,Bermuda,1800,0.0
25,Bhutan,1800,28.8
26,Bolivia,1800,33.0
27,Bosnia and Herzegovina,1800,35.1
28,Botswana,1800,33.6
29,Brazil,1800,32.0
30,British Virgin Islands,1800,0.0
31,Brunei,1800,29.2
32,Bulgaria,1800,35.8
33,Burkina Faso,1800,29.2
34,Burundi,1800,31.5
35,Cambodia,1800,35.0
36,Cameroon,1800,28.75
37,Canada,1800,39.0
38,Cape Verde,1800,33.8
39,Cayman Islands,1800,0.0
40,Central African Republic,1800,30.0
41,Chad,1800,30.9
42,Channel Islands,1800,0.0
43,Chile,1800,32.0
44,China,1800,32.0
45,Christmas Island,1800,0.0
46,Cocos Island,1800,0.0
47,Colombia,1800,32.0
48,Comoros,1800,32.1
49,"Congo, Dem. Rep.",1800,31.6
50,"Congo, Rep.",1800,32.7
51,Cook Is,1800,0.0
52,Costa Rica,1800,30.21
53,Cote d'Ivoire,1800,31.16
54,Croatia,1800,36.1
55,Cuba,1800,32.2
56,Cyprus,1800,38.5
57,Czech Republic,1800,34.95
58,Czechoslovakia,1800,0.0
59,Denmark,1800,37.41
60,Djibouti,1800,29.9
61,Dominica,1800,0.0
62,Dominican Republic,1800,29.9
63,East Germany,1800,0.0
64,Ecuador,1800,32.9
65,Egypt,1800,33.0
66,El Salvador,1800,28.7
67,Equatorial Guinea,1800,29.8
68,Eritrea,1800,30.2
69,Eritrea and Ethiopia,1800,0.0
70,Estonia,1800,36.14
71,Ethiopia,1800,29.7
72,Faeroe Islands,1800,0.0
73,Falkland Is (Malvinas),1800,0.0
74,Fiji,1800,26.1
75,Finland,1800,36.57
76,France,1800,33.97
77,French Guiana,1800,30.5
78,French Polynesia,1800,25.6
79,Gabon,1800,30.6
80,Gambia,1800,28.8
81,Georgia,1800,31.87
82,Germany,1800,38.37
83,Ghana,1800,28.0
84,Gibraltar,1800,0.0
85,Greece,1800,36.6
86,Greenland,1800,33.87
87,Grenada,1800,31.4
88,Guadeloupe,1800,27.66
89,Guam,1800,27.5
90,Guatemala,1800,25.8
91,Guernsey,1800,0.0
92,Guinea,1800,29.5
93,Guinea-Bissau,1800,32.0
94,Guyana,1800,31.12
95,Haiti,1800,29.0
96,Holy See,1800,0.0
97,Honduras,1800,33.9
98,"Hong Kong, China",1800,34.9
99,Hungary,1800,36.0
100,Iceland,1800,42.85
101,India,1800,25.44
102,Indonesia,1800,30.0
103,Iran,1800,25.6
104,Iraq,1800,31.2
105,Ireland,1800,38.3
106,Isle of Man,1800,0.0
107,Israel,1800,32.0
108,Italy,1800,29.69
109,Jamaica,1800,34.2
110,Japan,1800,36.4
111,Jersey,1800,0.0
112,Jordan,1800,31.7
113,Kazakhstan,1800,26.2
114,Kenya,1800,25.5
115,Kiribati,1800,24.9
116,Kosovo,1800,0.0
117,Kuwait,1800,26.0
118,Kyrgyz Republic,1800,23.94
119,Lao,1800,31.9
120,Latvia,1800,33.0
121,Lebanon,1800,29.7
122,Lesotho,1800,32.8
123,Liberia,1800,31.1
124,Libya,1800,33.1
125,Liechtenstein,1800,0.0
126,Lithuania,1800,28.9
127,Luxembourg,1800,36.9
128,"Macao, China",1800,34.7
129,"Macedonia, FYR",1800,36.1
130,Madagascar,1800,30.5
131,Malawi,1800,30.3
132,Malaysia,1800,30.6
133,Maldives,1800,32.65
134,Mali,1800,26.41
135,Malta,1800,28.7
136,Marshall Islands,1800,0.0
137,Martinique,1800,30.15
138,Mauritania,1800,32.0
139,Mauritius,1800,28.7
140,Mayotte,1800,32.5
141,Mexico,1800,26.9
142,"Micronesia, Fed. Sts.",1800,26.7
143,Moldova,1800,33.15
144,Monaco,1800,0.0
145,Mongolia,1800,31.8
146,Montenegro,1800,35.4
147,Montserrat,1800,0.0
148,Morocco,1800,33.1
149,Mozambique,1800,30.28
150,Myanmar,1800,30.8
151,Namibia,1800,32.4
152,Nauru,1800,0.0
153,Nepal,1800,32.8
154,Netherlands,1800,39.86
155,Netherlands Antilles,1800,34.41
156,New Caledonia,1800,26.0
157,New Zealand,1800,34.05
158,Ngorno-Karabakh,1800,0.0
159,Nicaragua,1800,25.4
160,Niger,1800,30.8
161,Nigeria,1800,30.4
162,Niue,1800,0.0
163,Norfolk Island,1800,0.0
164,North Korea,1800,26.0
165,North Yemen (former),1800,0.0
166,Northern Cyprus,1800,0.0
167,Northern Mariana Islands,1800,0.0
168,Norway,1800,37.92
169,Oman,1800,32.3
170,Pakistan,1800,25.8
171,Palau,1800,0.0
172,Panama,1800,32.9
173,Papua New Guinea,1800,31.5
174,Paraguay,1800,35.5
175,Peru,1800,35.7
176,Philippines,1800,30.9
177,Pitcairn,1800,0.0
178,Poland,1800,35.9
179,Portugal,1800,35.6
180,Puerto Rico,1800,30.43
181,Qatar,1800,30.8
182,Reunion,1800,33.0
183,Romania,1800,35.7
184,Russia,1800,29.57
185,Rwanda,1800,31.8
186,Samoa,1800,25.4
187,San Marino,1800,0.0
188,Sao Tome and Principe,1800,31.0
189,Saudi Arabia,1800,32.1
190,Senegal,1800,25.2
191,Serbia,1800,35.5
192,Serbia and Montenegro,1800,0.0
193,Serbia excluding Kosovo,1800,0.0
194,Seychelles,1800,37.0
195,Sierra Leone,1800,25.1
196,Singapore,1800,29.1
197,Slovak Republic,1800,36.4
198,Slovenia,1800,36.6
199,Solomon Islands,1800,25.1
200,Somalia,1800,29.4
201,Somaliland,1800,0.0
202,South Africa,1800,33.5
203,South Korea,1800,25.8
204,South Ossetia,1800,0.0
205,South Sudan,1800,26.67
206,South Yemen (former),1800,0.0
207,Spain,1800,29.5
208,Sri Lanka,1800,32.6
209,St. Barthélemy,1800,0.0
210,St. Helena,1800,0.0
211,St. Kitts and Nevis,1800,0.0
212,St. Lucia,1800,28.01
213,St. Martin,1800,0.0
214,St. Vincent and the Grenadines,1800,25.99
215,St.-Pierre-et-Miquelon,1800,0.0
216,Sudan,1800,31.4
217,Suriname,1800,32.9
218,Svalbard,1800,0.0
219,Swaziland,1800,32.3
220,Sweden,1800,32.16
221,Switzerland,1800,38.0
222,Syria,1800,31.1
223,Taiwan,1800,28.3
224,Tajikistan,1800,24.24
225,Tanzania,1800,32.2
226,Thailand,1800,30.4
227,Timor-Leste,1800,28.95
228,Togo,1800,31.3
229,Tokelau,1800,0.0
230,Tonga,1800,28.2
231,Transnistria,1800,0.0
232,Trinidad and Tobago,1800,32.9
233,Tunisia,1800,28.8
234,Turkey,1800,35.0
235,Turkmenistan,1800,24.0
236,Turks and Caicos Islands,1800,0.0
237,Tuvalu,1800,0.0
238,USSR,1800,0.0
239,Uganda,1800,25.3
240,Ukraine,1800,36.6
241,United Arab Emirates,1800,30.7
242,United Kingdom,1800,38.65
243,"United Korea (former)
",1800,0.0
244,United States,1800,39.41
245,Uruguay,1800,32.9
246,Uzbekistan,1800,26.93
247,Vanuatu,1800,24.3
248,Venezuela,1800,32.2
249,Vietnam,1800,32.0
250,Virgin Islands (U.S.),1800,33.4
251,Wallis et Futuna,1800,0.0
252,West Bank and Gaza,1800,32.1
253,West Germany,1800,0.0
254,Western Sahara,1800,34.75
255,Yemen,1800,23.39
256,Yugoslavia,1800,0.0
257,Zambia,1800,32.6
258,Zimbabwe,1800,33.7
259,Åland,1800,0.0
1820,Abkhazia,1801,0.0
1821,Afghanistan,1801,28.2
1822,Akrotiri and Dhekelia,1801,0.0
1823,Albania,1801,35.4
1824,Algeria,1801,28.82
1825,American Samoa,1801,0.0
1826,Andorra,1801,0.0
1827,Angola,1801,26.98
1828,Anguilla,1801,0.0
1829,Antigua and Barbuda,1801,33.54
1830,Argentina,1801,33.2
1831,Armenia,1801,34.0
1832,Aruba,1801,34.42
1833,Australia,1801,34.05
1834,Austria,1801,34.4
1835,Azerbaijan,1801,29.17
1836,Bahamas,1801,35.18
1837,Bahrain,1801,30.3
1838,Bangladesh,1801,25.5
1839,Barbados,1801,32.12
1840,Belarus,1801,36.2
1841,Belgium,1801,40.01
1842,Belize,1801,26.5
1843,Benin,1801,31.0
1844,Bermuda,1801,0.0
1845,Bhutan,1801,28.8
1846,Bolivia,1801,33.0
1847,Bosnia and Herzegovina,1801,35.1
1848,Botswana,1801,33.6
1849,Brazil,1801,32.0
1850,British Virgin Islands,1801,0.0
1851,Brunei,1801,29.2
1852,Bulgaria,1801,35.84
1853,Burkina Faso,1801,29.2
1854,Burundi,1801,31.5
1855,Cambodia,1801,35.0
1856,Cameroon,1801,28.75
1857,Canada,1801,39.0
1858,Cape Verde,1801,33.8
1859,Cayman Islands,1801,0.0
1860,Central African Republic,1801,30.0
1861,Chad,1801,30.9
1862,Channel Islands,1801,0.0
1863,Chile,1801,32.0
1864,China,1801,32.0
1865,Christmas Island,1801,0.0
1866,Cocos Island,1801,0.0
1867,Colombia,1801,32.0
1868,Comoros,1801,32.1
1869,"Congo, Dem. Rep.",1801,31.6
1870,"Congo, Rep.",1801,32.7
1871,Cook Is,1801,0.0
1872,Costa Rica,1801,30.21
1873,Cote d'Ivoire,1801,31.16
1874,Croatia,1801,36.1
1875,Cuba,1801,32.33
1876,Cyprus,1801,38.5
1877,Czech Republic,1801,34.95
1878,Czechoslovakia,1801,0.0
1879,Denmark,1801,38.51
1880,Djibouti,1801,29.9
1881,Dominica,1801,0.0
1882,Dominican Republic,1801,29.9
1883,East Germany,1801,0.0
1884,Ecuador,1801,32.9
1885,Egypt,1801,33.0
1886,El Salvador,1801,28.7
1887,Equatorial Guinea,1801,29.8
1888,Eritrea,1801,30.2
1889,Eritrea and Ethiopia,1801,0.0
1890,Estonia,1801,35.7
1891,Ethiopia,1801,29.7
1892,Faeroe Islands,1801,0.0
1893,Falkland Is (Malvinas),1801,0.0
1894,Fiji,1801,26.1
1895,Finland,1801,40.3
1896,France,1801,36.37
1897,French Guiana,1801,30.5
1898,French Polynesia,1801,25.6
1899,Gabon,1801,30.6
1900,Gambia,1801,28.8
1901,Georgia,1801,31.87
1902,Germany,1801,38.37
1903,Ghana,1801,28.0
1904,Gibraltar,1801,0.0
1905,Greece,1801,36.6
1906,Greenland,1801,33.87
1907,Grenada,1801,31.4
1908,Guadeloupe,1801,27.66
1909,Guam,1801,27.5
1910,Guatemala,1801,25.8
1911,Guernsey,1801,0.0
1912,Guinea,1801,29.51
1913,Guinea-Bissau,1801,32.0
1914,Guyana,1801,31.12
1915,Haiti,1801,29.0
1916,Holy See,1801,0.0
1917,Honduras,1801,33.9
1918,"Hong Kong, China",1801,34.9
1919,Hungary,1801,36.0
1920,Iceland,1801,33.88
1921,India,1801,25.44
1922,Indonesia,1801,30.0
1923,Iran,1801,25.6
1924,Iraq,1801,31.2
1925,Ireland,1801,38.3
1926,Isle of Man,1801,0.0
1927,Israel,1801,32.0
1928,Italy,1801,29.69
1929,Jamaica,1801,34.2
1930,Japan,1801,36.4
1931,Jersey,1801,0.0
1932,Jordan,1801,31.7
1933,Kazakhstan,1801,26.2
1934,Kenya,1801,25.5
1935,Kiribati,1801,24.9
1936,Kosovo,1801,0.0
1937,Kuwait,1801,26.0
1938,Kyrgyz Republic,1801,23.94
1939,Lao,1801,31.9
1940,Latvia,1801,33.0
1941,Lebanon,1801,29.7
1942,Lesotho,1801,32.8
1943,Liberia,1801,31.1
1944,Libya,1801,33.1
1945,Liechtenstein,1801,0.0
1946,Lithuania,1801,28.9
1947,Luxembourg,1801,36.9
1948,"Macao, China",1801,34.7
1949,"Macedonia, FYR",1801,36.1
1950,Madagascar,1801,30.5
1951,Malawi,1801,30.3
1952,Malaysia,1801,30.6
1953,Maldives,1801,32.65
1954,Mali,1801,26.41
1955,Malta,1801,28.7
1956,Marshall Islands,1801,0.0
1957,Martinique,1801,30.15
1958,Mauritania,1801,32.0
1959,Mauritius,1801,28.7
1960,Mayotte,1801,32.5
1961,Mexico,1801,26.9
1962,"Micronesia, Fed. Sts.",1801,26.7
1963,Moldova,1801,33.15
1964,Monaco,1801,0.0
1965,Mongolia,1801,31.8
1966,Montenegro,1801,35.4
1967,Montserrat,1801,0.0
1968,Morocco,1801,33.1
1969,Mozambique,1801,30.28
1970,Myanmar,1801,30.8
1971,Namibia,1801,32.4
1972,Nauru,1801,0.0
1973,Nepal,1801,32.8
1974,Netherlands,1801,39.86
1975,Netherlands Antilles,1801,34.41
1976,New Caledonia,1801,26.0
1977,New Zealand,1801,34.05
1978,Ngorno-Karabakh,1801,0.0
1979,Nicaragua,1801,25.4
1980,Niger,1801,30.8
1981,Nigeria,1801,30.4
1982,Niue,1801,0.0
1983,Norfolk Island,1801,0.0
1984,North Korea,1801,26.0
1985,North Yemen (former),1801,0.0
1986,Northern Cyprus,1801,0.0
1987,Northern Mariana Islands,1801,0.0
1988,Norway,1801,35.82
1989,Oman,1801,32.3
1990,Pakistan,1801,25.8
1991,Palau,1801,0.0
1992,Panama,1801,32.9
1993,Papua New Guinea,1801,31.5
1994,Paraguay,1801,35.5
1995,Peru,1801,35.7
1996,Philippines,1801,30.9
1997,Pitcairn,1801,0.0
1998,Poland,1801,35.9
1999,Portugal,1801,35.6
2000,Puerto Rico,1801,30.43
2001,Qatar,1801,30.8
2002,Reunion,1801,33.0
2003,Romania,1801,35.7
2004,Russia,1801,29.57
2005,Rwanda,1801,25.0
2006,Samoa,1801,25.4
2007,San Marino,1801,0.0
2008,Sao Tome and Principe,1801,31.0
2009,Saudi Arabia,1801,32.1
2010,Senegal,1801,25.2
2011,Serbia,1801,35.5
2012,Serbia and Montenegro,1801,0.0
2013,Serbia excluding Kosovo,1801,0.0
2014,Seychelles,1801,37.0
