,total_bill,tip,sex,smoker,day,time,size,grand_total,double_tip,grand_total_double_tip
0,16.99,1.01,Female,No,Sun,Dinner,2,18.0,2.02,19.009999999999998
1,10.34,1.66,Male,No,Sun,Dinner,3,12.0,3.32,13.66
2,21.01,3.5,Male,No,Sun,Dinner,3,24.51,7.0,28.01
3,23.68,3.31,Male,No,Sun,Dinner,2,26.99,6.62,30.3
4,24.59,3.61,Female,No,Sun,Dinner,4,28.2,7.22,31.81
5,25.29,4.71,Male,No,Sun,Dinner,4,30.0,9.42,34.71
6,8.77,2.0,Male,No,Sun,Dinner,2,10.77,4.0,12.77
7,26.88,3.12,Male,No,Sun,Dinner,4,30.0,6.24,33.12
8,15.04,1.96,Male,No,Sun,Dinner,2,17.0,3.92,18.96
9,14.78,3.23,Male,No,Sun,Dinner,2,18.009999999999998,6.46,21.24
10,10.27,1.71,Male,No,Sun,Dinner,2,11.98,3.42,13.69
11,35.26,5.0,Female,No,Sun,Dinner,4,40.26,10.0,45.26
12,15.42,1.57,Male,No,Sun,Dinner,2,16.99,3.14,18.56
13,18.43,3.0,Male,No,Sun,Dinner,4,21.43,6.0,24.43
14,14.83,3.02,Female,No,Sun,Dinner,2,17.85,6.04,20.87
15,21.58,3.92,Male,No,Sun,Dinner,2,25.5,7.84,29.419999999999998
16,10.33,1.67,Female,No,Sun,Dinner,3,12.0,3.34,13.67
17,16.29,3.71,Male,No,Sun,Dinner,3,20.0,7.42,23.71
18,16.97,3.5,Female,No,Sun,Dinner,3,20.47,7.0,23.97
19,20.65,3.35,Male,No,Sat,Dinner,3,24.0,6.7,27.349999999999998
20,17.92,4.08,Male,No,Sat,Dinner,2,22.0,8.16,26.080000000000002
21,20.29,2.75,Female,No,Sat,Dinner,2,23.04,5.5,25.79
22,15.77,2.23,Female,No,Sat,Dinner,2,18.0,4.46,20.23
23,39.42,7.58,Male,No,Sat,Dinner,4,47.0,15.16,54.58
24,19.82,3.18,Male,No,Sat,Dinner,2,23.0,6.36,26.18
25,17.81,2.34,Male,No,Sat,Dinner,4,20.15,4.68,22.49
26,13.37,2.0,Male,No,Sat,Dinner,2,15.37,4.0,17.369999999999997
27,12.69,2.0,Male,No,Sat,Dinner,2,14.69,4.0,16.689999999999998
28,21.7,4.3,Male,No,Sat,Dinner,2,26.0,8.6,30.299999999999997
29,19.65,3.0,Female,No,Sat,Dinner,2,22.65,6.0,25.65
30,9.55,1.45,Male,No,Sat,Dinner,2,11.0,2.9,12.450000000000001
31,18.35,2.5,Male,No,Sat,Dinner,4,20.85,5.0,23.35
32,15.06,3.0,Female,No,Sat,Dinner,2,18.060000000000002,6.0,21.060000000000002
33,20.69,2.45,Female,No,Sat,Dinner,4,23.14,4.9,25.590000000000003
34,17.78,3.27,Male,No,Sat,Dinner,2,21.05,6.54,24.32
35,24.06,3.6,Male,No,Sat,Dinner,3,27.66,7.2,31.259999999999998
36,16.31,2.0,Male,No,Sat,Dinner,3,18.31,4.0,20.31
37,16.93,3.07,Female,No,Sat,Dinner,3,20.0,6.14,23.07
38,18.69,2.31,Male,No,Sat,Dinner,3,21.0,4.62,23.310000000000002
39,31.27,5.0,Male,No,Sat,Dinner,3,36.269999999999996,10.0,41.269999999999996
40,16.04,2.24,Male,No,Sat,Dinner,3,18.28,4.48,20.52
41,17.46,2.54,Male,No,Sun,Dinner,2,20.0,5.08,22.54
42,13.94,3.06,Male,No,Sun,Dinner,2,17.0,6.12,20.06
43,9.68,1.32,Male,No,Sun,Dinner,2,11.0,2.64,12.32
44,30.4,5.6,Male,No,Sun,Dinner,4,36.0,11.2,41.599999999999994
45,18.29,3.0,Male,No,Sun,Dinner,2,21.29,6.0,24.29
46,22.23,5.0,Male,No,Sun,Dinner,2,27.23,10.0,32.230000000000004
47,32.4,6.0,Male,No,Sun,Dinner,4,38.4,12.0,44.4
48,28.55,2.05,Male,No,Sun,Dinner,3,30.6,4.1,32.65
49,18.04,3.0,Male,No,Sun,Dinner,2,21.04,6.0,24.04
50,12.54,2.5,Male,No,Sun,Dinner,2,15.04,5.0,17.54
51,10.29,2.6,Female,No,Sun,Dinner,2,12.889999999999999,5.2,15.489999999999998
52,34.81,5.2,Female,No,Sun,Dinner,4,40.010000000000005,10.4,45.21
53,9.94,1.56,Male,No,Sun,Dinner,2,11.5,3.12,13.059999999999999
54,25.56,4.34,Male,No,Sun,Dinner,4,29.9,8.68,34.239999999999995
55,19.49,3.51,Male,No,Sun,Dinner,2,23.0,7.02,26.509999999999998
56,38.01,3.0,Male,Yes,Sat,Dinner,4,41.01,6.0,44.01
57,26.41,1.5,Female,No,Sat,Dinner,2,27.91,3.0,29.41
58,11.24,1.76,Male,Yes,Sat,Dinner,2,13.0,3.52,14.76
59,48.27,6.73,Male,No,Sat,Dinner,4,55.0,13.46,61.730000000000004
60,20.29,3.21,Male,Yes,Sat,Dinner,2,23.5,6.42,26.71
61,13.81,2.0,Male,Yes,Sat,Dinner,2,15.81,4.0,17.810000000000002
62,11.02,1.98,Male,Yes,Sat,Dinner,2,13.0,3.96,14.98
63,18.29,3.76,Male,Yes,Sat,Dinner,4,22.049999999999997,7.52,25.81
64,17.59,2.64,Male,No,Sat,Dinner,3,20.23,5.28,22.87
65,20.08,3.15,Male,No,Sat,Dinner,3,23.229999999999997,6.3,26.38
66,16.45,2.47,Female,No,Sat,Dinner,2,18.919999999999998,4.94,21.39
67,3.07,1.0,Female,Yes,Sat,Dinner,1,4.07,2.0,5.07
68,20.23,2.01,Male,No,Sat,Dinner,2,22.240000000000002,4.02,24.25
69,15.01,2.09,Male,Yes,Sat,Dinner,2,17.1,4.18,19.189999999999998
70,12.02,1.97,Male,No,Sat,Dinner,2,13.99,3.94,15.959999999999999
71,17.07,3.0,Female,No,Sat,Dinner,3,20.07,6.0,23.07
72,26.86,3.14,Female,Yes,Sat,Dinner,2,30.0,6.28,33.14
73,25.28,5.0,Female,Yes,Sat,Dinner,2,30.28,10.0,35.28
74,14.73,2.2,Female,No,Sat,Dinner,2,16.93,4.4,19.130000000000003
75,10.51,1.25,Male,No,Sat,Dinner,2,11.76,2.5,13.01
76,17.92,3.08,Male,Yes,Sat,Dinner,2,21.0,6.16,24.080000000000002
77,27.2,4.0,Male,No,Thur,Lunch,4,31.2,8.0,35.2
78,22.76,3.0,Male,No,Thur,Lunch,2,25.76,6.0,28.76
79,17.29,2.71,Male,No,Thur,Lunch,2,20.0,5.42,22.71
80,19.44,3.0,Male,Yes,Thur,Lunch,2,22.44,6.0,25.44
81,16.66,3.4,Male,No,Thur,Lunch,2,20.06,6.8,23.46
82,10.07,1.83,Female,No,Thur,Lunch,1,11.9,3.66,13.73
83,32.68,5.0,Male,Yes,Thur,Lunch,2,37.68,10.0,42.68
84,15.98,2.03,Male,No,Thur,Lunch,2,18.01,4.06,20.04
85,34.83,5.17,Female,No,Thur,Lunch,4,40.0,10.34,45.17
86,13.03,2.0,Male,No,Thur,Lunch,2,15.03,4.0,17.03
87,18.28,4.0,Male,No,Thur,Lunch,2,22.28,8.0,26.28
88,24.71,5.85,Male,No,Thur,Lunch,2,30.560000000000002,11.7,36.41
89,21.16,3.0,Male,No,Thur,Lunch,2,24.16,6.0,27.16
90,28.97,3.0,Male,Yes,Fri,Dinner,2,31.97,6.0,34.97
91,22.49,3.5,Male,No,Fri,Dinner,2,25.99,7.0,29.49
92,5.75,1.0,Female,Yes,Fri,Dinner,2,6.75,2.0,7.75
93,16.32,4.3,Female,Yes,Fri,Dinner,2,20.62,8.6,24.92
94,22.75,3.25,Female,No,Fri,Dinner,2,26.0,6.5,29.25
95,40.17,4.73,Male,Yes,Fri,Dinner,4,44.900000000000006,9.46,49.63
96,27.28,4.0,Male,Yes,Fri,Dinner,2,31.28,8.0,35.28
97,12.03,1.5,Male,Yes,Fri,Dinner,2,13.53,3.0,15.03
98,21.01,3.0,Male,Yes,Fri,Dinner,2,24.01,6.0,27.01
99,12.46,1.5,Male,No,Fri,Dinner,2,13.96,3.0,15.46
100,11.35,2.5,Female,Yes,Fri,Dinner,2,13.85,5.0,16.35
101,15.38,3.0,Female,Yes,Fri,Dinner,2,18.380000000000003,6.0,21.380000000000003
102,44.3,2.5,Female,Yes,Sat,Dinner,3,46.8,5.0,49.3
103,22.42,3.48,Female,Yes,Sat,Dinner,2,25.900000000000002,6.96,29.380000000000003
104,20.92,4.08,Female,No,Sat,Dinner,2,25.0,8.16,29.080000000000002
105,15.36,1.64,Male,Yes,Sat,Dinner,2,17.0,3.28,18.64
106,20.49,4.06,Male,Yes,Sat,Dinner,2,24.549999999999997,8.12,28.61
107,25.21,4.29,Male,Yes,Sat,Dinner,2,29.5,8.58,33.79
108,18.24,3.76,Male,No,Sat,Dinner,2,22.0,7.52,25.759999999999998
109,14.31,4.0,Female,Yes,Sat,Dinner,2,18.310000000000002,8.0,22.310000000000002
110,14.0,3.0,Male,No,Sat,Dinner,2,17.0,6.0,20.0
111,7.25,1.0,Female,No,Sat,Dinner,1,8.25,2.0,9.25
112,38.07,4.0,Male,No,Sun,Dinner,3,42.07,8.0,46.07
113,23.95,2.55,Male,No,Sun,Dinner,2,26.5,5.1,29.049999999999997
114,25.71,4.0,Female,No,Sun,Dinner,3,29.71,8.0,33.71
115,17.31,3.5,Female,No,Sun,Dinner,2,20.81,7.0,24.31
116,29.93,5.07,Male,No,Sun,Dinner,4,35.0,10.14,40.07
117,10.65,1.5,Female,No,Thur,Lunch,2,12.15,3.0,13.65
118,12.43,1.8,Female,No,Thur,Lunch,2,14.23,3.6,16.03
119,24.08,2.92,Female,No,Thur,Lunch,4,27.0,5.84,29.919999999999998
120,11.69,2.31,Male,No,Thur,Lunch,2,14.0,4.62,16.31
121,13.42,1.68,Female,No,Thur,Lunch,2,15.1,3.36,16.78
122,14.26,2.5,Male,No,Thur,Lunch,2,16.759999999999998,5.0,19.259999999999998
123,15.95,2.0,Male,No,Thur,Lunch,2,17.95,4.0,19.95
124,12.48,2.52,Female,No,Thur,Lunch,2,15.0,5.04,17.52
125,29.8,4.2,Female,No,Thur,Lunch,6,34.0,8.4,38.2
126,8.52,1.48,Male,No,Thur,Lunch,2,10.0,2.96,11.48
127,14.52,2.0,Female,No,Thur,Lunch,2,16.52,4.0,18.52
128,11.38,2.0,Female,No,Thur,Lunch,2,13.38,4.0,15.38
129,22.82,2.18,Male,No,Thur,Lunch,3,25.0,4.36,27.18
130,19.08,1.5,Male,No,Thur,Lunch,2,20.58,3.0,22.08
131,20.27,2.83,Female,No,Thur,Lunch,2,23.1,5.66,25.93
132,11.17,1.5,Female,No,Thur,Lunch,2,12.67,3.0,14.17
133,12.26,2.0,Female,No,Thur,Lunch,2,14.26,4.0,16.259999999999998
134,18.26,3.25,Female,No,Thur,Lunch,2,21.51,6.5,24.76
135,8.51,1.25,Female,No,Thur,Lunch,2,9.76,2.5,11.01
136,10.33,2.0,Female,No,Thur,Lunch,2,12.33,4.0,14.33
137,14.15,2.0,Female,No,Thur,Lunch,2,16.15,4.0,18.15
138,16.0,2.0,Male,Yes,Thur,Lunch,2,18.0,4.0,20.0
139,13.16,2.75,Female,No,Thur,Lunch,2,15.91,5.5,18.66
140,17.47,3.5,Female,No,Thur,Lunch,2,20.97,7.0,24.47
141,34.3,6.7,Male,No,Thur,Lunch,6,41.0,13.4,47.699999999999996
142,41.19,5.0,Male,No,Thur,Lunch,5,46.19,10.0,51.19
143,27.05,5.0,Female,No,Thur,Lunch,6,32.05,10.0,37.05
144,16.43,2.3,Female,No,Thur,Lunch,2,18.73,4.6,21.03
145,8.35,1.5,Female,No,Thur,Lunch,2,9.85,3.0,11.35
