smoker;drink_level;dress_preference;ambience;hijos;activity;budget
False;abstemious;informal;family;independent;student;medium
False;abstemious;informal;family;independent;student;low
False;social drinker;formal;family;independent;student;low
False;abstemious;informal;family;independent;professional;medium
False;abstemious;no preference;family;independent;student;medium
True;social drinker;no preference;friends;independent;student;medium
False;casual drinker;informal;solitary;independent;student;low
False;social drinker;formal;solitary;independent;student;low
False;abstemious;formal;family;kids;student;medium
False;social drinker;no preference;friends;kids;student;medium
False;abstemious;no preference;family;independent;student;medium
False;casual drinker;formal;family;independent;student;medium
False;abstemious;no preference;friends;independent;professional;medium
False;abstemious;NaN;friends;independent;student;medium
True;social drinker;informal;family;independent;student;medium
False;casual drinker;informal;friends;independent;student;medium
False;casual drinker;formal;family;NaN;professional;medium
True;casual drinker;formal;friends;independent;student;low
False;casual drinker;no preference;family;independent;student;medium
False;abstemious;no preference;friends;independent;professional;medium
False;social drinker;no preference;family;dependent;student;medium
False;casual drinker;formal;family;independent;student;medium
False;casual drinker;informal;friends;independent;student;low
NaN;abstemious;NaN;NaN;NaN;NaN;NaN
False;social drinker;no preference;family;NaN;student;medium
False;abstemious;formal;family;independent;student;medium
True;social drinker;no preference;NaN;independent;student;low
False;abstemious;no preference;family;independent;student;medium
True;casual drinker;formal;family;independent;student;low
False;casual drinker;formal;family;independent;student;medium
False;abstemious;informal;solitary;kids;unemployed;medium
False;abstemious;formal;family;independent;student;medium
False;social drinker;no preference;family;NaN;student;low
False;casual drinker;informal;family;independent;student;medium
True;casual drinker;no preference;friends;independent;student;medium
False;social drinker;informal;family;independent;student;medium
False;social drinker;no preference;family;independent;student;low
True;social drinker;no preference;family;independent;student;low
False;social drinker;no preference;friends;independent;student;medium
False;abstemious;no preference;friends;independent;student;medium
False;abstemious;no preference;friends;independent;professional;medium
False;abstemious;no preference;family;independent;student;high
False;abstemious;no preference;solitary;independent;student;medium
True;social drinker;informal;family;kids;professional;medium
False;casual drinker;elegant;friends;independent;student;high
False;social drinker;no preference;friends;independent;student;medium
False;abstemious;no preference;family;independent;student;medium
True;casual drinker;no preference;NaN;independent;student;medium
False;casual drinker;informal;solitary;NaN;student;NaN
False;social drinker;no preference;family;independent;student;medium
False;casual drinker;no preference;family;independent;professional;medium
True;social drinker;no preference;family;independent;student;low
False;casual drinker;informal;family;independent;student;low
False;social drinker;formal;family;independent;student;medium
False;abstemious;no preference;family;dependent;professional;medium
