Año;Población;Tasa de crecimiento;;
1951;2540807495;N/A %;;
1952;2586957085;1.82%;;
1953;2632787502;1.77%;;
1954;2678896551;1.75%;;
1955;2725766615;1.75%;;
1956;2773762631;1.76%;;
1957;2823131978;1.78%;;
1958;2874013095;1.80%;;
1959;2926452535;1.82%;;
1960;2981394663;1.88%;;
1961;3036978803;1.86%;;
1962;3094237385;1.89%;;
1963;3153380494;1.91%;;
1964;3214727506;1.95%;;
1965;3278555015;1.99%;;
1966;3345008017;2.03%;;
1967;3414025267;2.06%;;
1968;3485254803;2.09%;;
1969;3558117546;2.09%;;
1970;3632007495;2.08%;;
1971;3706609481;2.05%;;
1972;3781872344;2.03%;;
1973;3857602433;2.00%;;
1974;3933417605;1.97%;;
1975;4008989361;1.92%;;
1976;4084105387;1.87%;;
1977;4158756254;1.83%;;
1978;4233302166;1.79%;;
1979;4308410980;1.77%;;
1980;4384771573;1.77%;;
1981;4462682114;1.78%;;
1982;4542088143;1.78%;;
1983;4623131680;1.78%;;
1984;4706216901;1.80%;;
1985;4791660298;1.82%;;
1986;4898970836;2.24%;;
1987;4989616230;1.85%;;
1988;5081956782;1.85%;;
1989;5174616988;1.82%;;
1990;5266183401;1.77%;;
1991;5355950662;1.70%;;
1992;5443722939;1.64%;;
1993;5529621549;1.58%;;
1994;5613760957;1.52%;;
1995;5696335791;1.47%;;
1996;5777414187;1.42%;;
1997;5856964684;1.38%;;
1998;5935153167;1.33%;;
1999;6012508224;1.30%;;
2000;6089825349;1.29%;;
2001;6167406568;1.27%;;
2002;6245218155;1.26%;;
2003;6323402931;1.25%;;
2004;6402104428;1.24%;;
2005;6481482361;1.24%;;
2006;6561634842;1.24%;;
2007;6642621707;1.23%;;
2008;6724367437;1.23%;;
2009;6806802897;1.23%;;
2010;6889811477;1.22%;;
2011;6973271757;1.21%;;
2012;7057184484;1.20%;;
2013;7141539483;1.20%;;
2014;7226154730;1.18%;;
2015;7310679524;1.17%;;
2016;7397776362;1.19%;;
2017;7486520598;1.20%;;
2018;7576951385;1.21%;;
2019;7669109078;1.22%;;
2020;7797322395;1.67%;;
2025;8187482626;5.00%;;
2030;8553090972;4.47%;;
2035;8894594868;3.99%;;
2040;9212224932;3.57%;;
2045;9506070389;3.19%;;
2050;9773651653;2.81%;;
2055;10012946343;2.45%;;
2060;10224315824;2.11%;;
2065;10411449013;1.83%;;
2070;10577408925;1.59%;;
2075;10723432838;1.38%;;
2080;10850084849;1.18%;;
2085;10958838946;1.00%;;
2090;11051228331;0.84%;;
2095;11127099242;0.69%;;
2100;11185333718;0.52%;;
