país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Australia,"AUS","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","74","84.7"
Australia,"AUS","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","70.8170731707317","82.4975609756098"
Australia,"AUS","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","67.7857142857143","80.4"
Australia,"AUS","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","18573188486.9526","1323421072479.07"
Australia,"AUS","Población, hombres","SP.POP.TOTL.MA.IN","5191453","12255965"
Australia,"AUS","Población, mujeres","SP.POP.TOTL.FE.IN","5085024","12345895"
Australia,"AUS","Población, total","SP.POP.TOTL","10276477","24601860"
Brunei Darussalam,"BRN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","63.976","79.074"
Brunei Darussalam,"BRN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","62.467","77.374"
Brunei Darussalam,"BRN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","61.095","75.782"
Brunei Darussalam,"BRN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","12128089001.5858"
Brunei Darussalam,"BRN","Población, hombres","SP.POP.TOTL.MA.IN","42182","220633"
Brunei Darussalam,"BRN","Población, mujeres","SP.POP.TOTL.FE.IN","39563","208064"
Brunei Darussalam,"BRN","Población, total","SP.POP.TOTL","81745","428697"
Camboya,"KHM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","42.932","71.324"
Camboya,"KHM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","41.242","69.331"
Camboya,"KHM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","39.613","67.127"
Camboya,"KHM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","637142865.714286","22158209502.6391"
Camboya,"KHM","Población, hombres","SP.POP.TOTL.MA.IN","2856077","7809580"
Camboya,"KHM","Población, mujeres","SP.POP.TOTL.FE.IN","2866293","8195793"
Camboya,"KHM","Población, total","SP.POP.TOTL","5722370","16005373"
China,"CHN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","45.191","77.999"
China,"CHN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","43.725","76.41"
China,"CHN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","42.433","74.946"
China,"CHN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","59716467625.3148","12237700479375"
China,"CHN","Población, hombres","SP.POP.TOTL.MA.IN","343839501","714405303"
China,"CHN","Población, mujeres","SP.POP.TOTL.FE.IN","323230499","671989697"
China,"CHN","Población, total","SP.POP.TOTL","667070000","1386395000"
"Corea, República de","KOR","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","55.509","85.7"
"Corea, República de","KOR","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","53.0018048780488","82.6268292682927"
"Corea, República de","KOR","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","50.614","79.7"
"Corea, República de","KOR","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","3957873925.93719","1530750923148.7"
"Corea, República de","KOR","Población, hombres","SP.POP.TOTL.MA.IN","12589155","25752540"
"Corea, República de","KOR","Población, mujeres","SP.POP.TOTL.FE.IN","12423219","25713661"
"Corea, República de","KOR","Población, total","SP.POP.TOTL","25012374","51466201"
"Corea, República Popular Democrática de","PRK","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","53.863","75.296"
"Corea, República Popular Democrática de","PRK","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","51.297","71.887"
"Corea, República Popular Democrática de","PRK","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","48.424","68.255"
"Corea, República Popular Democrática de","PRK","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","NA"
"Corea, República Popular Democrática de","PRK","Población, hombres","SP.POP.TOTL.MA.IN","5279170","12467897"
"Corea, República Popular Democrática de","PRK","Población, mujeres","SP.POP.TOTL.FE.IN","6145006","13023068"
"Corea, República Popular Democrática de","PRK","Población, total","SP.POP.TOTL","11424176","25490965"
Fiji,"FJI","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","58.038","73.647"
Fiji,"FJI","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","55.86","70.417"
Fiji,"FJI","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","53.978","67.535"
Fiji,"FJI","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","112328422.113084","5061202767.42948"
Fiji,"FJI","Población, hombres","SP.POP.TOTL.MA.IN","202612","459669"
Fiji,"FJI","Población, mujeres","SP.POP.TOTL.FE.IN","190774","445833"
Fiji,"FJI","Población, total","SP.POP.TOTL","393386","905502"
Filipinas,"PHL","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","59.075","72.816"
Filipinas,"PHL","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","57.867","69.238"
Filipinas,"PHL","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","56.609","65.941"
Filipinas,"PHL","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","6684568805.06881","313595208736.66"
Filipinas,"PHL","Población, hombres","SP.POP.TOTL.MA.IN","13222046","52800818"
Filipinas,"PHL","Población, mujeres","SP.POP.TOTL.FE.IN","13050979","52117272"
Filipinas,"PHL","Población, total","SP.POP.TOTL","26273025","104918090"
Guam,"GUM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","63.438","82.227"
Guam,"GUM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","60.97","79.763"
Guam,"GUM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","59.12","77.389"
Guam,"GUM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","5859000000"
Guam,"GUM","Población, hombres","SP.POP.TOTL.MA.IN","39048","83158"
Guam,"GUM","Población, mujeres","SP.POP.TOTL.FE.IN","27694","81071"
Guam,"GUM","Población, total","SP.POP.TOTL","66742","164229"
"Hong Kong, Región Administrativa Especial","HKG","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","70.692","87.6"
"Hong Kong, Región Administrativa Especial","HKG","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","66.9616829268293","84.6804878048781"
"Hong Kong, Región Administrativa Especial","HKG","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","63.409","81.9"
"Hong Kong, Región Administrativa Especial","HKG","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","1320796651.69457","341449340450.649"
"Hong Kong, Región Administrativa Especial","HKG","Población, hombres","SP.POP.TOTL.MA.IN","1580690","3399097"
"Hong Kong, Región Administrativa Especial","HKG","Población, mujeres","SP.POP.TOTL.FE.IN","1494915","3992603"
"Hong Kong, Región Administrativa Especial","HKG","Población, total","SP.POP.TOTL","3075605","7391700"
Indonesia,"IDN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","50.055","71.554"
Indonesia,"IDN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","48.651","69.355"
Indonesia,"IDN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","47.293","67.29"
Indonesia,"IDN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1015420587285.06"
Indonesia,"IDN","Población, hombres","SP.POP.TOTL.MA.IN","43636790","132898397"
Indonesia,"IDN","Población, mujeres","SP.POP.TOTL.FE.IN","44155725","131092982"
Indonesia,"IDN","Población, total","SP.POP.TOTL","87792515","263991379"
Islas Marshall,"MHL","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","NA"
Islas Marshall,"MHL","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","NA"
Islas Marshall,"MHL","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","NA"
Islas Marshall,"MHL","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","204173430.050761"
Islas Marshall,"MHL","Población, hombres","SP.POP.TOTL.MA.IN","NA","NA"
Islas Marshall,"MHL","Población, mujeres","SP.POP.TOTL.FE.IN","NA","NA"
Islas Marshall,"MHL","Población, total","SP.POP.TOTL","14662","53127"
Islas Salomón,"SLB","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","50.15","72.627"
Islas Salomón,"SLB","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","49.174","71.006"
Islas Salomón,"SLB","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","48.65","69.539"
Islas Salomón,"SLB","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1303453622.23293"
Islas Salomón,"SLB","Población, hombres","SP.POP.TOTL.MA.IN","63239","310794"
Islas Salomón,"SLB","Población, mujeres","SP.POP.TOTL.FE.IN","54627","300549"
Islas Salomón,"SLB","Población, total","SP.POP.TOTL","117866","611343"
Japón,"JPN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","70.14","87.26"
Japón,"JPN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","67.6660975609756","84.099756097561"
Japón,"JPN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","65.31","81.09"
Japón,"JPN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","44307342950.4","4872415104314.68"
Japón,"JPN","Población, hombres","SP.POP.TOTL.MA.IN","45531686","61915092"
Japón,"JPN","Población, mujeres","SP.POP.TOTL.FE.IN","46968886","64870705"
Japón,"JPN","Población, total","SP.POP.TOTL","92500572","126785797"
Kiribati,"KIR","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","51.443","69.829"
Kiribati,"KIR","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","49.245","66.506"
Kiribati,"KIR","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","47.095","63.198"
Kiribati,"KIR","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","185572501.532802"
Kiribati,"KIR","Población, hombres","SP.POP.TOTL.MA.IN","20346","57394"
Kiribati,"KIR","Población, mujeres","SP.POP.TOTL.FE.IN","20887","59004"
Kiribati,"KIR","Población, total","SP.POP.TOTL","41233","116398"
Malasia,"MYS","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","60.322","77.853"
Malasia,"MYS","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","59.466","75.452"
Malasia,"MYS","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","58.669","73.309"
Malasia,"MYS","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","1916241996.60264","314710259510.743"
Malasia,"MYS","Población, hombres","SP.POP.TOTL.MA.IN","4152611","16325473"
Malasia,"MYS","Población, mujeres","SP.POP.TOTL.FE.IN","4004495","15298791"
Malasia,"MYS","Población, total","SP.POP.TOTL","8157106","31624264"
Mariana,"MNP","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","NA"
Mariana,"MNP","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","NA"
Mariana,"MNP","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","NA"
Mariana,"MNP","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1593000000"
Mariana,"MNP","Población, hombres","SP.POP.TOTL.MA.IN","NA","NA"
Mariana,"MNP","Población, mujeres","SP.POP.TOTL.FE.IN","NA","NA"
Mariana,"MNP","Población, total","SP.POP.TOTL","10035","55144"
Micronesia (Estados Federados de),"FSM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","58.15","70.509"
Micronesia (Estados Federados de),"FSM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","57.58","69.316"
Micronesia (Estados Federados de),"FSM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","57.05","68.118"
Micronesia (Estados Federados de),"FSM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","336427500"
Micronesia (Estados Federados de),"FSM","Población, hombres","SP.POP.TOTL.MA.IN","22941","54096"
Micronesia (Estados Federados de),"FSM","Población, mujeres","SP.POP.TOTL.FE.IN","21596","51448"
Micronesia (Estados Federados de),"FSM","Población, total","SP.POP.TOTL","44537","105544"
Mongolia,"MNG","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","50.687","73.729"
Mongolia,"MNG","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","48.392","69.465"
Mongolia,"MNG","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","46.161","65.44"
Mongolia,"MNG","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","11433635875.9316"
Mongolia,"MNG","Población, hombres","SP.POP.TOTL.MA.IN","469843","1521446"
Mongolia,"MNG","Población, mujeres","SP.POP.TOTL.FE.IN","485662","1554201"
Mongolia,"MNG","Población, total","SP.POP.TOTL","955505","3075647"
Myanmar,"MMR","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","45.744","69.086"
Myanmar,"MMR","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","42.714","66.744"
Myanmar,"MMR","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","39.872","64.358"
Myanmar,"MMR","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","67068745521.3823"
Myanmar,"MMR","Población, hombres","SP.POP.TOTL.MA.IN","10253911","26067525"
Myanmar,"MMR","Población, mujeres","SP.POP.TOTL.FE.IN","10732212","27303084"
Myanmar,"MMR","Población, total","SP.POP.TOTL","20986123","53370609"
Nauru,"NRU","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","NA"
Nauru,"NRU","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","NA"
Nauru,"NRU","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","NA"
Nauru,"NRU","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","113884908.36413"
Nauru,"NRU","Población, hombres","SP.POP.TOTL.MA.IN","NA","NA"
Nauru,"NRU","Población, mujeres","SP.POP.TOTL.FE.IN","NA","NA"
Nauru,"NRU","Población, total","SP.POP.TOTL","4433","12876"
Nueva Caledonia,"NCL","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","61.2","79.3"
Nueva Caledonia,"NCL","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","58.6390243902439","77.1487804878049"
Nueva Caledonia,"NCL","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","56.2","75.1"
Nueva Caledonia,"NCL","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","NA"
Nueva Caledonia,"NCL","Población, hombres","SP.POP.TOTL.MA.IN","41644","141290"
Nueva Caledonia,"NCL","Población, mujeres","SP.POP.TOTL.FE.IN","37356","139170"
Nueva Caledonia,"NCL","Población, total","SP.POP.TOTL","79000","280460"
Nueva Zelandia,"NZL","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","73.9","83.4"
Nueva Zelandia,"NZL","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","71.2365853658537","81.6585365853659"
Nueva Zelandia,"NZL","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","68.7","80"
Nueva Zelandia,"NZL","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","5485854791.97096","204139049908.52"
Nueva Zelandia,"NZL","Población, hombres","SP.POP.TOTL.MA.IN","1191849","2357337"
