país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Albania,"ALB","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","63.247","80.595"
Albania,"ALB","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","62.279","78.495"
Albania,"ALB","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","61.309","76.543"
Albania,"ALB","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","13038538300.2644"
Albania,"ALB","Población, hombres","SP.POP.TOTL.MA.IN","828205","1450509"
Albania,"ALB","Población, mujeres","SP.POP.TOTL.FE.IN","780595","1422948"
Albania,"ALB","Población, total","SP.POP.TOTL","1608800","2873457"
Alemania,"DEU","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","71.997","83.5"
Alemania,"DEU","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","69.3100243902439","80.990243902439"
Alemania,"DEU","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","66.751","78.6"
Alemania,"DEU","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","3693204332229.78"
Alemania,"DEU","Población, hombres","SP.POP.TOTL.MA.IN","33863880","40716325"
Alemania,"DEU","Población, mujeres","SP.POP.TOTL.FE.IN","38951020","41969502"
Alemania,"DEU","Población, total","SP.POP.TOTL","72814900","82685827"
Andorra,"AND","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","NA"
Andorra,"AND","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","NA"
Andorra,"AND","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","NA"
Andorra,"AND","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","3012914131.16971"
Andorra,"AND","Población, hombres","SP.POP.TOTL.MA.IN","NA","NA"
Andorra,"AND","Población, mujeres","SP.POP.TOTL.FE.IN","NA","NA"
Andorra,"AND","Población, total","SP.POP.TOTL","13411","76965"
Armenia,"ARM","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","69.057","77.797"
Armenia,"ARM","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","65.971","74.782"
Armenia,"ARM","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","62.822","71.427"
Armenia,"ARM","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","11536590635.8268"
Armenia,"ARM","Población, hombres","SP.POP.TOTL.MA.IN","903002","1378342"
Armenia,"ARM","Población, mujeres","SP.POP.TOTL.FE.IN","971118","1552108"
Armenia,"ARM","Población, total","SP.POP.TOTL","1874120","2930450"
Austria,"AUT","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","71.92","84.1"
Austria,"AUT","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","68.5856097560976","81.6414634146342"
Austria,"AUT","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","65.41","79.3"
Austria,"AUT","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","6592693841.18495","416835975862.193"
Austria,"AUT","Población, hombres","SP.POP.TOTL.MA.IN","3282797","4313547"
Austria,"AUT","Población, mujeres","SP.POP.TOTL.FE.IN","3764742","4484019"
Austria,"AUT","Población, total","SP.POP.TOTL","7047539","8797566"
Azerbaiyán,"AZE","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","64.168","75.165"
Azerbaiyán,"AZE","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","61.035","72.123"
Azerbaiyán,"AZE","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","57.555","69.077"
Azerbaiyán,"AZE","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","40747792237.9735"
Azerbaiyán,"AZE","Población, hombres","SP.POP.TOTL.MA.IN","1863218","4908478"
Azerbaiyán,"AZE","Población, mujeres","SP.POP.TOTL.FE.IN","2032178","4945555"
Azerbaiyán,"AZE","Población, total","SP.POP.TOTL","3895396","9854033"
Belarús,"BLR","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","70.518","79.2"
Belarús,"BLR","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","67.7080975609756","74.1292682926829"
Belarús,"BLR","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","65.032","69.3"
Belarús,"BLR","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","54456465472.6162"
Belarús,"BLR","Población, hombres","SP.POP.TOTL.MA.IN","3706107","4419899"
Belarús,"BLR","Población, mujeres","SP.POP.TOTL.FE.IN","4491893","5078365"
Belarús,"BLR","Población, total","SP.POP.TOTL","8198000","9498264"
Bélgica,"BEL","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","72.77","84"
Bélgica,"BEL","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","69.7019512195122","81.4390243902439"
Bélgica,"BEL","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","66.78","79"
Bélgica,"BEL","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","11658722590.99","494763551890.776"
Bélgica,"BEL","Población, hombres","SP.POP.TOTL.MA.IN","4503524","5612740"
Bélgica,"BEL","Población, mujeres","SP.POP.TOTL.FE.IN","4649965","5769653"
Bélgica,"BEL","Población, total","SP.POP.TOTL","9153489","11382393"
Bosnia y Herzegovina,"BIH","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","61.941","79.564"
Bosnia y Herzegovina,"BIH","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","60.353","77.087"
Bosnia y Herzegovina,"BIH","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","58.68","74.551"
Bosnia y Herzegovina,"BIH","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","18054854788.5214"
Bosnia y Herzegovina,"BIH","Población, hombres","SP.POP.TOTL.MA.IN","1582400","1721710"
Bosnia y Herzegovina,"BIH","Población, mujeres","SP.POP.TOTL.FE.IN","1643268","1785307"
Bosnia y Herzegovina,"BIH","Población, total","SP.POP.TOTL","3225668","3507017"
Bulgaria,"BGR","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","71.03","78.5"
Bulgaria,"BGR","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","69.2475609756098","74.8121951219512"
Bulgaria,"BGR","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","67.55","71.3"
Bulgaria,"BGR","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","58220973782.7715"
Bulgaria,"BGR","Población, hombres","SP.POP.TOTL.MA.IN","3928033","3439703"
Bulgaria,"BGR","Población, mujeres","SP.POP.TOTL.FE.IN","3939341","3636244"
Bulgaria,"BGR","Población, total","SP.POP.TOTL","7867374","7075947"
Chipre,"CYP","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","71.655","82.795"
Chipre,"CYP","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","69.618","80.67"
Chipre,"CYP","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","67.631","78.539"
Chipre,"CYP","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","22054225828.2623"
Chipre,"CYP","Población, hombres","SP.POP.TOTL.MA.IN","281665","590482"
Chipre,"CYP","Población, mujeres","SP.POP.TOTL.FE.IN","291265","589069"
Chipre,"CYP","Población, total","SP.POP.TOTL","572930","1179551"
Croacia,"HRV","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","67.248","80.9"
Croacia,"HRV","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","64.6086585365854","77.8268292682927"
Croacia,"HRV","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","62.095","74.9"
Croacia,"HRV","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","55213087270.6341"
Croacia,"HRV","Población, hombres","SP.POP.TOTL.MA.IN","1988205","1988177"
Croacia,"HRV","Población, mujeres","SP.POP.TOTL.FE.IN","2151976","2136354"
Croacia,"HRV","Población, total","SP.POP.TOTL","4140181","4124531"
Dinamarca,"DNK","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","74","82.9"
Dinamarca,"DNK","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","72.1765853658537","81.0048780487805"
Dinamarca,"DNK","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","70.44","79.2"
Dinamarca,"DNK","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","6248946880.2777","329865537183.471"
Dinamarca,"DNK","Población, hombres","SP.POP.TOTL.MA.IN","2272194","2867362"
Dinamarca,"DNK","Población, mujeres","SP.POP.TOTL.FE.IN","2307409","2897618"
Dinamarca,"DNK","Población, total","SP.POP.TOTL","4579603","5764980"
Eslovenia,"SVN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","72","84.3"
Eslovenia,"SVN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","68.9780487804878","81.1756097560976"
Eslovenia,"SVN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","66.1","78.2"
Eslovenia,"SVN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","48769655479.2388"
Eslovenia,"SVN","Población, hombres","SP.POP.TOTL.MA.IN","759149","1026077"
Eslovenia,"SVN","Población, mujeres","SP.POP.TOTL.FE.IN","825571","1040311"
Eslovenia,"SVN","Población, total","SP.POP.TOTL","1584720","2066388"
España,"ESP","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","71.66","86.3"
España,"ESP","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","69.1092682926829","83.3292682926829"
España,"ESP","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","66.68","80.5"
España,"ESP","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","12072126075.397","1314314164402.2"
España,"ESP","Población, hombres","SP.POP.TOTL.MA.IN","14791891","22846875"
España,"ESP","Población, mujeres","SP.POP.TOTL.FE.IN","15663109","23746296"
España,"ESP","Población, total","SP.POP.TOTL","30455000","46593171"
Estonia,"EST","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","72.023","82.2"
Estonia,"EST","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","67.9029024390244","77.6414634146342"
Estonia,"EST","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","63.979","73.3"
Estonia,"EST","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","26611651598.9452"
Estonia,"EST","Población, hombres","SP.POP.TOTL.MA.IN","534851","617254"
Estonia,"EST","Población, mujeres","SP.POP.TOTL.FE.IN","676686","700130"
Estonia,"EST","Población, total","SP.POP.TOTL","1211537","1317384"
Federación de Rusia,"RUS","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","70.243","77.41"
Federación de Rusia,"RUS","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","66.0552926829268","72.1190243902439"
Federación de Rusia,"RUS","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","62.067","67.08"
Federación de Rusia,"RUS","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1578417211936.87"
Federación de Rusia,"RUS","Población, hombres","SP.POP.TOTL.MA.IN","53698906","67152910"
Federación de Rusia,"RUS","Población, mujeres","SP.POP.TOTL.FE.IN","66198094","77343830"
Federación de Rusia,"RUS","Población, total","SP.POP.TOTL","119897000","144496740"
Finlandia,"FIN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","72.4","84.4"
Finlandia,"FIN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","68.819756097561","81.4292682926829"
Finlandia,"FIN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","65.41","78.6"
Finlandia,"FIN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","5224102195.52771","252301837573.029"
Finlandia,"FIN","Población, hombres","SP.POP.TOTL.MA.IN","2133537","2714364"
Finlandia,"FIN","Población, mujeres","SP.POP.TOTL.FE.IN","2296097","2793850"
Finlandia,"FIN","Población, total","SP.POP.TOTL","4429634","5508214"
Francia,"FRA","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","73.3","85.7"
Francia,"FRA","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","69.8682926829268","82.5243902439024"
Francia,"FRA","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","66.6","79.5"
Francia,"FRA","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","62651474946.6007","2582501307216.42"
Francia,"FRA","Población, hombres","SP.POP.TOTL.MA.IN","22770030","32993980"
Francia,"FRA","Población, mujeres","SP.POP.TOTL.FE.IN","24044207","34111533"
Francia,"FRA","Población, total","SP.POP.TOTL","46814237","67105513"
Georgia,"GEO","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","67.365","77.639"
Georgia,"GEO","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","63.651","73.436"
Georgia,"GEO","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","59.686","69.172"
Georgia,"GEO","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","15081338092.2875"
Georgia,"GEO","Población, hombres","SP.POP.TOTL.MA.IN","1698431","1779941"
Georgia,"GEO","Población, mujeres","SP.POP.TOTL.FE.IN","1947169","1948063"
Georgia,"GEO","Población, total","SP.POP.TOTL","3645600","3728004"
Gibraltar,"GIB","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","NA"
Gibraltar,"GIB","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","NA"
Gibraltar,"GIB","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","NA"
