país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Antigua y Barbuda,"ATG","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","64.167","78.883"
Antigua y Barbuda,"ATG","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","62.115","76.519"
Antigua y Barbuda,"ATG","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","59.512","73.996"
Antigua y Barbuda,"ATG","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1510084750.74074"
Antigua y Barbuda,"ATG","Población, hombres","SP.POP.TOTL.MA.IN","26066","48966"
Antigua y Barbuda,"ATG","Población, mujeres","SP.POP.TOTL.FE.IN","29273","53046"
Antigua y Barbuda,"ATG","Población, total","SP.POP.TOTL","55339","102012"
Argentina,"ARG","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","68.154","80.441"
Argentina,"ARG","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","65.022","76.738"
Argentina,"ARG","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","62.417","72.964"
Argentina,"ARG","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","637430331479.469"
Argentina,"ARG","Población, hombres","SP.POP.TOTL.MA.IN","10471009","21667866"
Argentina,"ARG","Población, mujeres","SP.POP.TOTL.FE.IN","10148066","22603175"
Argentina,"ARG","Población, total","SP.POP.TOTL","20619075","44271041"
Aruba,"ABW","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","67.129","78.373"
Aruba,"ABW","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","65.662","76.01"
Aruba,"ABW","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","64.084","73.488"
Aruba,"ABW","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","2700558659.21788"
Aruba,"ABW","Población, hombres","SP.POP.TOTL.MA.IN","26574","49982"
Aruba,"ABW","Población, mujeres","SP.POP.TOTL.FE.IN","27637","55282"
Aruba,"ABW","Población, total","SP.POP.TOTL","54211","105264"
Bahamas,"BHS","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","64.764","78.752"
Bahamas,"BHS","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","62.881","75.823"
Bahamas,"BHS","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","60.791","72.742"
Bahamas,"BHS","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","169803921.568627","12162100000"
Bahamas,"BHS","Población, hombres","SP.POP.TOTL.MA.IN","52385","193586"
Bahamas,"BHS","Población, mujeres","SP.POP.TOTL.FE.IN","57143","201775"
Bahamas,"BHS","Población, total","SP.POP.TOTL","109528","395361"
Barbados,"BRB","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","63.025","78.4"
Barbados,"BRB","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","61.002","76.057"
Barbados,"BRB","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","58.56","73.603"
Barbados,"BRB","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","4673500000"
Barbados,"BRB","Población, hombres","SP.POP.TOTL.MA.IN","103461","136794"
Barbados,"BRB","Población, mujeres","SP.POP.TOTL.FE.IN","127478","148925"
Barbados,"BRB","Población, total","SP.POP.TOTL","230939","285719"
Belice,"BLZ","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","61.332","73.612"
Belice,"BLZ","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","59.981","70.588"
Belice,"BLZ","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","58.656","67.913"
Belice,"BLZ","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","28071888.5622288","1862614800"
