país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Arabia Saudita,"SAU","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","47.755","76.489"
Arabia Saudita,"SAU","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","45.638","74.72"
Arabia Saudita,"SAU","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","43.677","73.424"
Arabia Saudita,"SAU","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","686738400000"
Arabia Saudita,"SAU","Población, hombres","SP.POP.TOTL.MA.IN","2052198","18797916"
Arabia Saudita,"SAU","Población, mujeres","SP.POP.TOTL.FE.IN","2034341","14140297"
Arabia Saudita,"SAU","Población, total","SP.POP.TOTL","4086539","32938213"
Argelia,"DZA","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","46.865","77.561"
Argelia,"DZA","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","46.138","76.293"
Argelia,"DZA","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","45.44","75.077"
Argelia,"DZA","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","2723648551.75208","167555280113.181"
Argelia,"DZA","Población, hombres","SP.POP.TOTL.MA.IN","5597837","20866388"
Argelia,"DZA","Población, mujeres","SP.POP.TOTL.FE.IN","5527051","20451754"
Argelia,"DZA","Población, total","SP.POP.TOTL","11124888","41318142"
Bahrein,"BHR","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","55.392","78.145"
Bahrein,"BHR","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","51.868","77.038"
Bahrein,"BHR","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","48.95","76.189"
Bahrein,"BHR","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","35432686170.2128"
Bahrein,"BHR","Población, hombres","SP.POP.TOTL.MA.IN","86961","936284"
Bahrein,"BHR","Población, mujeres","SP.POP.TOTL.FE.IN","75466","556300"
Bahrein,"BHR","Población, total","SP.POP.TOTL","162427","1492584"
Djibouti,"DJI","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","45.375","64.36"
Djibouti,"DJI","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","44.038","62.643"
Djibouti,"DJI","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","42.732","60.994"
Djibouti,"DJI","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1844674434.50371"
Djibouti,"DJI","Población, hombres","SP.POP.TOTL.MA.IN","41574","480249"
Djibouti,"DJI","Población, mujeres","SP.POP.TOTL.FE.IN","42062","476736"
Djibouti,"DJI","Población, total","SP.POP.TOTL","83636","956985"
"Egipto, República Árabe de","EGY","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","49.265","73.969"
"Egipto, República Árabe de","EGY","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","48.056","71.661"
"Egipto, República Árabe de","EGY","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","46.822","69.453"
"Egipto, República Árabe de","EGY","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","235369129337.711"
"Egipto, República Árabe de","EGY","Población, hombres","SP.POP.TOTL.MA.IN","13674538","49324992"
"Egipto, República Árabe de","EGY","Población, mujeres","SP.POP.TOTL.FE.IN","13321995","48228159"
"Egipto, República Árabe de","EGY","Población, total","SP.POP.TOTL","26996533","97553151"
Emiratos Árabes Unidos,"ARE","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","55.031","78.924"
