país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Bermudas,"BMU","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","85.35"
Bermudas,"BMU","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","81.4419512195122"
Bermudas,"BMU","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","77.72"
Bermudas,"BMU","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","84466654.0801544","NA"
Bermudas,"BMU","Población, hombres","SP.POP.TOTL.MA.IN","NA","NA"
Bermudas,"BMU","Población, mujeres","SP.POP.TOTL.FE.IN","NA","NA"
Bermudas,"BMU","Población, total","SP.POP.TOTL","44400","65441"
Canadá,"CAN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","74.15","84.382"
Canadá,"CAN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","71.1331707317073","82.4704878048781"
Canadá,"CAN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","68.26","80.65"
Canadá,"CAN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","41093453544.9096","1647120175449.13"
Canadá,"CAN","Población, hombres","SP.POP.TOTL.MA.IN","9057268","18213750"
Canadá,"CAN","Población, mujeres","SP.POP.TOTL.FE.IN","8851741","18494333"
Canadá,"CAN","Población, total","SP.POP.TOTL","17909009","36708083"
Estados Unidos,"USA","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","73.1","81.1"
Estados Unidos,"USA","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","69.7707317073171","78.5390243902439"
Estados Unidos,"USA","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","66.6","76.1"
Estados Unidos,"USA","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","543300000000","19485394000000"
Estados Unidos,"USA","Población, hombres","SP.POP.TOTL.MA.IN","89503312","160933430"
Estados Unidos,"USA","Población, mujeres","SP.POP.TOTL.FE.IN","91167688","164213691"
Estados Unidos,"USA","Población, total","SP.POP.TOTL","180671000","325147121"
,"","","","",""
,"","","","",""
,"","","","",""
Data from Database: Indicadores del desarrollo mundial,"","","","",""
Last Updated: 04/24/2019,"","","","",""
