país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Afganistán,"AFG","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","33.133","65.425"
Afganistán,"AFG","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","32.292","64.047"
Afganistán,"AFG","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","31.58","62.764"
Afganistán,"AFG","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","537777811.111111","19543976895.4248"
Afganistán,"AFG","Población, hombres","SP.POP.TOTL.MA.IN","4649361","18309891"
Afganistán,"AFG","Población, mujeres","SP.POP.TOTL.FE.IN","4346990","17220190"
Afganistán,"AFG","Población, total","SP.POP.TOTL","8996351","35530081"
Bangladesh,"BGD","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","46.152","74.623"
Bangladesh,"BGD","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","45.831","72.808"
Bangladesh,"BGD","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","45.523","71.191"
Bangladesh,"BGD","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","4274893913.49536","249723862487.361"
Bangladesh,"BGD","Población, hombres","SP.POP.TOTL.MA.IN","24911873","83035772"
Bangladesh,"BGD","Población, mujeres","SP.POP.TOTL.FE.IN","23287874","81633979"
Bangladesh,"BGD","Población, total","SP.POP.TOTL","48199747","164669751"
Bhután,"BTN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","35.053","70.876"
Bhután,"BTN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","34.526","70.565"
Bhután,"BTN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","34.019","70.258"
Bhután,"BTN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","2528007911.35353"
Bhután,"BTN","Población, hombres","SP.POP.TOTL.MA.IN","113813","428629"
Bhután,"BTN","Población, mujeres","SP.POP.TOTL.FE.IN","109475","378981"
Bhután,"BTN","Población, total","SP.POP.TOTL","223288","807610"
India,"IND","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","40.413","70.427"
India,"IND","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","41.174","68.803"
India,"IND","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","41.89","67.32"
India,"IND","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","37029884761.6365","2650725335363.83"
India,"IND","Población, hombres","SP.POP.TOTL.MA.IN","231929047","693958761"
India,"IND","Población, mujeres","SP.POP.TOTL.FE.IN","217551561","645221366"
India,"IND","Población, total","SP.POP.TOTL","449480608","1339180127"
Maldivas,"MDV","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","37.429","78.799"
