país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Angola,"AGO","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","34.737","64.682"
Angola,"AGO","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","33.251","61.809"
Angola,"AGO","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","31.787","58.972"
Angola,"AGO","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","122123822333.73"
Angola,"AGO","Población, hombres","SP.POP.TOTL.MA.IN","2742585","14605264"
Angola,"AGO","Población, mujeres","SP.POP.TOTL.FE.IN","2900597","15178929"
Angola,"AGO","Población, total","SP.POP.TOTL","5643182","29784193"
Benin,"BEN","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","37.773","62.683"
Benin,"BEN","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","37.271","61.171"
Benin,"BEN","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","36.823","59.629"
Benin,"BEN","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","226195579.35701","9246696923.66155"
Benin,"BEN","Población, hombres","SP.POP.TOTL.MA.IN","1156653","5574556"
Benin,"BEN","Población, mujeres","SP.POP.TOTL.FE.IN","1274969","5601136"
Benin,"BEN","Población, total","SP.POP.TOTL","2431622","11175692"
Botswana,"BWA","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","52.428","70.191"
Botswana,"BWA","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","50.661","67.618"
Botswana,"BWA","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","48.757","64.939"
Botswana,"BWA","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","30412308.9864012","17406565823.2986"
Botswana,"BWA","Población, hombres","SP.POP.TOTL.MA.IN","250066","1132764"
Botswana,"BWA","Población, mujeres","SP.POP.TOTL.FE.IN","274486","1158897"
Botswana,"BWA","Población, total","SP.POP.TOTL","524552","2291661"
Burkina Faso,"BFA","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","35.553","61.431"
Burkina Faso,"BFA","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","34.432","60.77"
Burkina Faso,"BFA","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","33.454","59.98"
Burkina Faso,"BFA","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","330442817.168859","12322864244.9183"
Burkina Faso,"BFA","Población, hombres","SP.POP.TOTL.MA.IN","2457982","9571934"
Burkina Faso,"BFA","Población, mujeres","SP.POP.TOTL.FE.IN","2371306","9621448"
Burkina Faso,"BFA","Población, total","SP.POP.TOTL","4829288","19193382"
Burundi,"BDI","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","42.851","59.879"
Burundi,"BDI","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","41.281","57.857"
Burundi,"BDI","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","39.698","55.883"
Burundi,"BDI","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","195999990","3172416146.3921"
Burundi,"BDI","Población, hombres","SP.POP.TOTL.MA.IN","1344888","5346539"
Burundi,"BDI","Población, mujeres","SP.POP.TOTL.FE.IN","1441218","5517706"
Burundi,"BDI","Población, total","SP.POP.TOTL","2786106","10864245"
Cabo Verde,"CPV","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","50.078","74.914"
Cabo Verde,"CPV","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","48.928","73.004"
Cabo Verde,"CPV","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","47.693","70.86"
Cabo Verde,"CPV","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","1772706451.18085"
Cabo Verde,"CPV","Población, hombres","SP.POP.TOTL.MA.IN","94953","272266"
Cabo Verde,"CPV","Población, mujeres","SP.POP.TOTL.FE.IN","107357","274122"
Cabo Verde,"CPV","Población, total","SP.POP.TOTL","202310","546388"
Camerún,"CMR","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","42.878","59.706"
Camerún,"CMR","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","41.546","58.575"
Camerún,"CMR","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","40.234","57.45"
Camerún,"CMR","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","618740988.011405","34922782310.6416"
Camerún,"CMR","Población, hombres","SP.POP.TOTL.MA.IN","2544372","12038247"
Camerún,"CMR","Población, mujeres","SP.POP.TOTL.FE.IN","2631896","12015480"
Camerún,"CMR","Población, total","SP.POP.TOTL","5176268","24053727"
Chad,"TCD","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","40.163","54.455"
Chad,"TCD","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","38.019","53.208"
Chad,"TCD","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","35.956","51.981"
Chad,"TCD","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","313582727.638056","9871247731.89787"
