país Name,"país Code","serie Name","serie Code","1960 [YR1960]","2017 [YR2017]"
Afganistán,"AFG","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","33.133","65.425"
Afganistán,"AFG","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","32.292","64.047"
Afganistán,"AFG","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","31.58","62.764"
Afganistán,"AFG","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","537777811.111111","19543976895.4248"
Afganistán,"AFG","Población, hombres","SP.POP.TOTL.MA.IN","4649361","18309891"
Afganistán,"AFG","Población, mujeres","SP.POP.TOTL.FE.IN","4346990","17220190"
Afganistán,"AFG","Población, total","SP.POP.TOTL","8996351","35530081"
Albania,"ALB","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","63.247","80.595"
Albania,"ALB","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","62.279","78.495"
Albania,"ALB","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","61.309","76.543"
Albania,"ALB","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","13038538300.2644"
Albania,"ALB","Población, hombres","SP.POP.TOTL.MA.IN","828205","1450509"
Albania,"ALB","Población, mujeres","SP.POP.TOTL.FE.IN","780595","1422948"
Albania,"ALB","Población, total","SP.POP.TOTL","1608800","2873457"
Alemania,"DEU","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","71.997","83.5"
Alemania,"DEU","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","69.3100243902439","80.990243902439"
Alemania,"DEU","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","66.751","78.6"
Alemania,"DEU","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","3693204332229.78"
Alemania,"DEU","Población, hombres","SP.POP.TOTL.MA.IN","33863880","40716325"
Alemania,"DEU","Población, mujeres","SP.POP.TOTL.FE.IN","38951020","41969502"
Alemania,"DEU","Población, total","SP.POP.TOTL","72814900","82685827"
Andorra,"AND","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","NA","NA"
Andorra,"AND","Esperanza de vida al nacer, total (años)","SP.DYN.LE00.IN","NA","NA"
Andorra,"AND","Esperanza de vida al nacer, varones (años)","SP.DYN.LE00.MA.IN","NA","NA"
Andorra,"AND","PIB (US$ a precios actuales)","NY.GDP.MKTP.CD","NA","3012914131.16971"
Andorra,"AND","Población, hombres","SP.POP.TOTL.MA.IN","NA","NA"
Andorra,"AND","Población, mujeres","SP.POP.TOTL.FE.IN","NA","NA"
Andorra,"AND","Población, total","SP.POP.TOTL","13411","76965"
Angola,"AGO","Esperanza de vida al nacer, mujeres (años)","SP.DYN.LE00.FE.IN","34.737","64.682"
