Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Burglary
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
Birmingham Police Dept,AL,       7173,       7784,       7250,       6783,       6529,       6958,       7894,       7447,       6628,       6483,       6399,       5973,       5186,       4130,       3855,       4078,       4079,       4389,       4831,       5156,       4933,       4813,       4864,       5153,       5019,,       5806,       4704,       4018,       3750, 
Huntsville Police Dept,AL,       2260,       2353,       2217,       2447,       2188,       2181,,       2732,       2571,       2710,       2413,       2251,       2261,       1848,       2034,       1882,       1802,       1714,       1740,       1924,       2446,       2493,       2283,       2369,       2520,       2677,       2677,       2165,       1884,       1912, 
Jefferson County Sheriff Department,AL,       1722,       1976,       1895,       1968,       2037,       1751,       1908,       1658,       1646,       1587,       1508,       1604,       1315,       1286,       1180,       1364,       1535,       1339,       1336,       1214,       1833,       1779,       1844,       2358,       2334,       2345,       2348,       2035,       1908,, 
Madison County Sheriff Department,AL,         143,         153,         153,         176,         203,         234,         454,         522,         481,         450,         485,         450,         569,         488,         441,         481,         529,         556,         653,         643,         744,         797,         588,         810,         750,         839,         556,         795,         630,         637, 
Mobile County Sheriff Department,AL,         691,         774,         831,,         614,         613,,,         661,         944,         952,         967,       1022,       1053,         974,         813,         825,         781,         910,         907,         782,         843,         783,         778,,         770,         844,         801,         739,         670, 
Mobile Police Dept,AL,       6157,       7949,       9429,       9046,       6429,       4580,       5743,       5056,       4884,       4712,       4201,       4404,       4524,       4438,       3465,       3609,       4653,       3590,       3976,       3844,       3832,       3662,       3650,       3305,       3716,       3873,       4058,       2796,       3207,       2847, 
Montgomery Police Dept,AL,       2476,       2189,       1939,       2340,       3119,       2779,       4364,       3550,       3558,       3129,       3085,       3376,       3364,       3095,       3165,       3467,       3252,       3812,       4092,       3734,       3528,       3380,       3317,       3513,       3092,       3279,       2885,       3409,       1826,       2548, 
Anchorage Police Dept,AK,       2892,       2824,       2113,       1890,       1708,       2060,       2489,       2650,       1880,       2276,       2521,       2353,       1931,       1617,       1543,       1533,       1606,       1521,       1418,       1523,       1783,       1733,       1454,       1191,       1613,       1223,       1080,       1158,       1318,       1375, 
Chandler Police Dept,AZ,         934,       1108,       1096,       1094,       1130,       1420,       1624,       1354,       1635,       1472,       1677,       1796,       1969,       1831,       1568,       1690,       1599,       1893,       1819,       1535,       1439,       1401,       1231,       1414,       1376,       1373,       1344,       1147,         993,         954, 
Gilbert Police Dept,AZ,         155,         195,         204,         226,         406,         449,         514,         455,         479,         516,         729,         782,,       1204,       1150,       1273,       1464,       1378,       1609,       1505,         975,         949,         996,       1113,       1013,         807,         823,         726,         649,         587, 
