station,date,element,value,city
USW00013904,20160101,TMAX,100,AUSTIN
USW00013904,20160101,TMIN,67,AUSTIN
USW00013904,20160101,PRCP,0,AUSTIN
USW00013904,20160101,SNOW,0,AUSTIN
USW00013904,20160101,SNWD,0,AUSTIN
USW00013904,20160101,AWND,72,AUSTIN
USW00013904,20160101,TAVG,86,AUSTIN
USW00013904,20160101,WDF2,20,AUSTIN
USW00013904,20160101,WDF5,20,AUSTIN
USW00013904,20160101,WSF2,116,AUSTIN
USW00013904,20160101,WSF5,157,AUSTIN
USW00013904,20160102,TMAX,89,AUSTIN
USW00013904,20160102,TMIN,61,AUSTIN
USW00013904,20160102,PRCP,56,AUSTIN
USW00013904,20160102,SNOW,0,AUSTIN
USW00013904,20160102,SNWD,0,AUSTIN
USW00013904,20160102,AWND,28,AUSTIN
USW00013904,20160102,TAVG,77,AUSTIN
USW00013904,20160102,WDF2,360,AUSTIN
USW00013904,20160102,WDF5,10,AUSTIN
USW00013904,20160102,WSF2,67,AUSTIN
USW00013904,20160102,WSF5,76,AUSTIN
USW00013904,20160102,WT01,1,AUSTIN
USW00013904,20160103,TMAX,161,AUSTIN
USW00013904,20160103,TMIN,6,AUSTIN
USW00013904,20160103,PRCP,0,AUSTIN
USW00013904,20160103,SNOW,0,AUSTIN
USW00013904,20160103,SNWD,0,AUSTIN
USW00013904,20160103,AWND,20,AUSTIN
USW00013904,20160103,TAVG,90,AUSTIN
USW00013904,20160103,WDF2,340,AUSTIN
USW00013904,20160103,WDF5,350,AUSTIN
USW00013904,20160103,WSF2,63,AUSTIN
USW00013904,20160103,WSF5,81,AUSTIN
USW00013904,20160104,TMAX,144,AUSTIN
USW00013904,20160104,TMIN,0,AUSTIN
USW00013904,20160104,PRCP,0,AUSTIN
USW00013904,20160104,SNOW,0,AUSTIN
USW00013904,20160104,SNWD,0,AUSTIN
USW00013904,20160104,AWND,26,AUSTIN
USW00013904,20160104,TAVG,66,AUSTIN
USW00013904,20160104,WDF2,50,AUSTIN
USW00013904,20160104,WDF5,40,AUSTIN
USW00013904,20160104,WSF2,63,AUSTIN
USW00013904,20160104,WSF5,98,AUSTIN
USW00013904,20160105,TMAX,139,AUSTIN
USW00013904,20160105,TMIN,-16,AUSTIN
USW00013904,20160105,PRCP,0,AUSTIN
USW00013904,20160105,SNOW,0,AUSTIN
USW00013904,20160105,SNWD,0,AUSTIN
USW00013904,20160105,AWND,23,AUSTIN
USW00013904,20160105,TAVG,48,AUSTIN
USW00013904,20160105,WDF2,70,AUSTIN
USW00013904,20160105,WDF5,40,AUSTIN
USW00013904,20160105,WSF2,45,AUSTIN
USW00013904,20160105,WSF5,63,AUSTIN
USW00013904,20160106,TMAX,117,AUSTIN
USW00013904,20160106,TMIN,78,AUSTIN
USW00013904,20160106,PRCP,163,AUSTIN
USW00013904,20160106,SNOW,0,AUSTIN
USW00013904,20160106,SNWD,0,AUSTIN
USW00013904,20160106,AWND,20,AUSTIN
USW00013904,20160106,TAVG,97,AUSTIN
USW00013904,20160106,WDF2,50,AUSTIN
USW00013904,20160106,WDF5,70,AUSTIN
USW00013904,20160106,WSF2,40,AUSTIN
USW00013904,20160106,WSF5,58,AUSTIN
USW00013904,20160106,WT01,1,AUSTIN
USW00013904,20160106,WT03,1,AUSTIN
USW00013904,20160106,WT08,1,AUSTIN
USW00013904,20160107,TMAX,222,AUSTIN
USW00013904,20160107,TMIN,94,AUSTIN
USW00013904,20160107,PRCP,0,AUSTIN
USW00013904,20160107,SNOW,0,AUSTIN
USW00013904,20160107,SNWD,0,AUSTIN
USW00013904,20160107,AWND,16,AUSTIN
USW00013904,20160107,TAVG,133,AUSTIN
USW00013904,20160107,WDF2,180,AUSTIN
USW00013904,20160107,WDF5,160,AUSTIN
USW00013904,20160107,WSF2,58,AUSTIN
USW00013904,20160107,WSF5,72,AUSTIN
USW00013904,20160107,WT01,1,AUSTIN
USW00013904,20160107,WT02,1,AUSTIN
USW00013904,20160108,TMAX,189,AUSTIN
USW00013904,20160108,TMIN,28,AUSTIN
USW00013904,20160108,PRCP,0,AUSTIN
USW00013904,20160108,SNOW,0,AUSTIN
USW00013904,20160108,SNWD,0,AUSTIN
USW00013904,20160108,AWND,21,AUSTIN
USW00013904,20160108,TAVG,113,AUSTIN
USW00013904,20160108,WDF2,300,AUSTIN
USW00013904,20160108,WDF5,310,AUSTIN
USW00013904,20160108,WSF2,89,AUSTIN
USW00013904,20160108,WSF5,125,AUSTIN
USW00013904,20160108,WT01,1,AUSTIN
USW00013904,20160108,WT02,1,AUSTIN
USW00013904,20160109,TMAX,156,AUSTIN
USW00013904,20160109,TMIN,39,AUSTIN
USW00013904,20160109,PRCP,0,AUSTIN
USW00013904,20160109,SNOW,0,AUSTIN
USW00013904,20160109,SNWD,0,AUSTIN
USW00013904,20160109,AWND,57,AUSTIN
USW00013904,20160109,TAVG,118,AUSTIN
USW00013904,20160109,WDF2,350,AUSTIN
USW00013904,20160109,WDF5,320,AUSTIN
USW00013904,20160109,WSF2,103,AUSTIN
USW00013904,20160109,WSF5,130,AUSTIN
USW00013904,20160110,TMAX,100,AUSTIN
USW00013904,20160110,TMIN,-5,AUSTIN
USW00013904,20160110,PRCP,0,AUSTIN
USW00013904,20160110,SNOW,0,AUSTIN
USW00013904,20160110,SNWD,0,AUSTIN
USW00013904,20160110,AWND,38,AUSTIN
USW00013904,20160110,TAVG,47,AUSTIN
USW00013904,20160110,WDF2,10,AUSTIN
USW00013904,20160110,WDF5,10,AUSTIN
USW00013904,20160110,WSF2,72,AUSTIN
USW00013904,20160110,WSF5,94,AUSTIN
USW00013904,20160111,TMAX,139,AUSTIN
USW00013904,20160111,TMIN,-10,AUSTIN
USW00013904,20160111,PRCP,0,AUSTIN
USW00013904,20160111,SNOW,0,AUSTIN
USW00013904,20160111,SNWD,0,AUSTIN
USW00013904,20160111,AWND,11,AUSTIN
USW00013904,20160111,TAVG,50,AUSTIN
USW00013904,20160111,WDF2,340,AUSTIN
USW00013904,20160111,WDF5,150,AUSTIN
USW00013904,20160111,WSF2,36,AUSTIN
USW00013904,20160111,WSF5,45,AUSTIN
USW00013904,20160112,TMAX,183,AUSTIN
USW00013904,20160112,TMIN,-5,AUSTIN
USW00013904,20160112,PRCP,0,AUSTIN
USW00013904,20160112,SNOW,0,AUSTIN
USW00013904,20160112,SNWD,0,AUSTIN
USW00013904,20160112,AWND,14,AUSTIN
USW00013904,20160112,TAVG,69,AUSTIN
USW00013904,20160112,WDF2,20,AUSTIN
USW00013904,20160112,WDF5,330,AUSTIN
USW00013904,20160112,WSF2,45,AUSTIN
USW00013904,20160112,WSF5,54,AUSTIN
USW00013904,20160113,TMAX,189,AUSTIN
USW00013904,20160113,TMIN,-16,AUSTIN
USW00013904,20160113,PRCP,0,AUSTIN
USW00013904,20160113,SNOW,0,AUSTIN
USW00013904,20160113,SNWD,0,AUSTIN
USW00013904,20160113,AWND,23,AUSTIN
USW00013904,20160113,TAVG,79,AUSTIN
USW00013904,20160113,WDF2,190,AUSTIN
USW00013904,20160113,WDF5,150,AUSTIN
USW00013904,20160113,WSF2,67,AUSTIN
USW00013904,20160113,WSF5,89,AUSTIN
USW00013904,20160113,WT01,1,AUSTIN
USW00013904,20160114,TMAX,217,AUSTIN
USW00013904,20160114,TMIN,50,AUSTIN
USW00013904,20160114,PRCP,0,AUSTIN
USW00013904,20160114,SNOW,0,AUSTIN
USW00013904,20160114,SNWD,0,AUSTIN
USW00013904,20160114,AWND,26,AUSTIN
USW00013904,20160114,TAVG,122,AUSTIN
USW00013904,20160114,WDF2,210,AUSTIN
USW00013904,20160114,WDF5,220,AUSTIN
USW00013904,20160114,WSF2,81,AUSTIN
USW00013904,20160114,WSF5,107,AUSTIN
USW00013904,20160115,TMAX,211,AUSTIN
USW00013904,20160115,TMIN,28,AUSTIN
USW00013904,20160115,PRCP,0,AUSTIN
USW00013904,20160115,SNOW,0,AUSTIN
USW00013904,20160115,SNWD,0,AUSTIN
USW00013904,20160115,AWND,21,AUSTIN
USW00013904,20160115,TAVG,147,AUSTIN
USW00013904,20160115,WDF2,320,AUSTIN
USW00013904,20160115,WDF5,320,AUSTIN
USW00013904,20160115,WSF2,67,AUSTIN
USW00013904,20160115,WSF5,103,AUSTIN
USW00013904,20160116,TMAX,178,AUSTIN
USW00013904,20160116,TMIN,22,AUSTIN
USW00013904,20160116,PRCP,3,AUSTIN
USW00013904,20160116,SNOW,0,AUSTIN
USW00013904,20160116,SNWD,0,AUSTIN
USW00013904,20160116,AWND,41,AUSTIN
USW00013904,20160116,TAVG,85,AUSTIN
USW00013904,20160116,WDF2,360,AUSTIN
USW00013904,20160116,WDF5,360,AUSTIN
USW00013904,20160116,WSF2,134,AUSTIN
USW00013904,20160116,WSF5,152,AUSTIN
USW00013904,20160117,TMAX,139,AUSTIN
USW00013904,20160117,TMIN,-32,AUSTIN
USW00013904,20160117,PRCP,0,AUSTIN
USW00013904,20160117,SNOW,0,AUSTIN
USW00013904,20160117,SNWD,0,AUSTIN
USW00013904,20160117,AWND,22,AUSTIN
USW00013904,20160117,TAVG,64,AUSTIN
USW00013904,20160117,WDF2,180,AUSTIN
USW00013904,20160117,WDF5,180,AUSTIN
USW00013904,20160117,WSF2,67,AUSTIN
USW00013904,20160117,WSF5,85,AUSTIN
USW00013904,20160118,TMAX,144,AUSTIN
USW00013904,20160118,TMIN,-16,AUSTIN
USW00013904,20160118,PRCP,0,AUSTIN
USW00013904,20160118,SNOW,0,AUSTIN
USW00013904,20160118,SNWD,0,AUSTIN
USW00013904,20160118,AWND,12,AUSTIN
USW00013904,20160118,TAVG,53,AUSTIN
USW00013904,20160118,WDF2,40,AUSTIN
USW00013904,20160118,WDF5,20,AUSTIN
USW00013904,20160118,WSF2,63,AUSTIN
USW00013904,20160118,WSF5,72,AUSTIN
USW00013904,20160119,TMAX,211,AUSTIN
USW00013904,20160119,TMIN,6,AUSTIN
USW00013904,20160119,PRCP,0,AUSTIN
USW00013904,20160119,SNOW,0,AUSTIN
USW00013904,20160119,SNWD,0,AUSTIN
USW00013904,20160119,AWND,38,AUSTIN
USW00013904,20160119,TAVG,96,AUSTIN
USW00013904,20160119,WDF2,190,AUSTIN
USW00013904,20160119,WDF5,200,AUSTIN
USW00013904,20160119,WSF2,103,AUSTIN
USW00013904,20160119,WSF5,130,AUSTIN
USW00013904,20160119,WT01,1,AUSTIN
USW00013904,20160119,WT02,1,AUSTIN
USW00013904,20160120,TMAX,133,AUSTIN
USW00013904,20160120,TMIN,67,AUSTIN
USW00013904,20160120,PRCP,0,AUSTIN
USW00013904,20160120,SNOW,0,AUSTIN
USW00013904,20160120,SNWD,0,AUSTIN
USW00013904,20160120,AWND,33,AUSTIN
USW00013904,20160120,TAVG,108,AUSTIN
USW00013904,20160120,WDF2,20,AUSTIN
USW00013904,20160120,WDF5,10,AUSTIN
USW00013904,20160120,WSF2,76,AUSTIN
USW00013904,20160120,WSF5,89,AUSTIN
USW00013904,20160120,WT01,1,AUSTIN
USW00013904,20160121,TMAX,189,AUSTIN
USW00013904,20160121,TMIN,50,AUSTIN
USW00013904,20160121,PRCP,3,AUSTIN
USW00013904,20160121,SNOW,0,AUSTIN
USW00013904,20160121,SNWD,0,AUSTIN
USW00013904,20160121,AWND,51,AUSTIN
USW00013904,20160121,TAVG,134,AUSTIN
USW00013904,20160121,WDF2,340,AUSTIN
USW00013904,20160121,WDF5,360,AUSTIN
USW00013904,20160121,WSF2,148,AUSTIN
USW00013904,20160121,WSF5,188,AUSTIN
USW00013904,20160121,WT01,1,AUSTIN
USW00013904,20160121,WT02,1,AUSTIN
USW00013904,20160122,TMAX,128,AUSTIN
USW00013904,20160122,TMIN,-21,AUSTIN
USW00013904,20160122,PRCP,0,AUSTIN
USW00013904,20160122,SNOW,0,AUSTIN
USW00013904,20160122,SNWD,0,AUSTIN
USW00013904,20160122,AWND,54,AUSTIN
USW00013904,20160122,TAVG,79,AUSTIN
USW00013904,20160122,WDF2,350,AUSTIN
USW00013904,20160122,WDF5,340,AUSTIN
USW00013904,20160122,WSF2,103,AUSTIN
USW00013904,20160122,WSF5,130,AUSTIN
USW00013904,20160123,TMAX,144,AUSTIN
USW00013904,20160123,TMIN,-38,AUSTIN
USW00013904,20160123,PRCP,0,AUSTIN
USW00013904,20160123,SNOW,0,AUSTIN
USW00013904,20160123,SNWD,0,AUSTIN
USW00013904,20160123,AWND,18,AUSTIN
USW00013904,20160123,TAVG,42,AUSTIN
USW00013904,20160123,WDF2,150,AUSTIN
USW00013904,20160123,WDF5,140,AUSTIN
USW00013904,20160123,WSF2,45,AUSTIN
USW00013904,20160123,WSF5,54,AUSTIN
USW00013904,20160124,TMAX,211,AUSTIN
USW00013904,20160124,TMIN,-27,AUSTIN
USW00013904,20160124,PRCP,0,AUSTIN
USW00013904,20160124,SNOW,0,AUSTIN
USW00013904,20160124,SNWD,0,AUSTIN
USW00013904,20160124,AWND,41,AUSTIN
USW00013904,20160124,TAVG,77,AUSTIN
USW00013904,20160124,WDF2,150,AUSTIN
USW00013904,20160124,WDF5,150,AUSTIN
USW00013904,20160124,WSF2,103,AUSTIN
USW00013904,20160124,WSF5,143,AUSTIN
USW00013904,20160124,WT01,1,AUSTIN
USW00013904,20160125,TMAX,228,AUSTIN
USW00013904,20160125,TMIN,89,AUSTIN
USW00013904,20160125,PRCP,0,AUSTIN
USW00013904,20160125,SNOW,0,AUSTIN
USW00013904,20160125,SNWD,0,AUSTIN
USW00013904,20160125,AWND,27,AUSTIN
USW00013904,20160125,TAVG,164,AUSTIN
USW00013904,20160125,WDF2,190,AUSTIN
USW00013904,20160125,WDF5,180,AUSTIN
USW00013904,20160125,WSF2,63,AUSTIN
USW00013904,20160125,WSF5,76,AUSTIN
USW00013904,20160126,TMAX,139,AUSTIN
USW00013904,20160126,TMIN,61,AUSTIN
USW00013904,20160126,PRCP,41,AUSTIN
USW00013904,20160126,SNOW,0,AUSTIN
USW00013904,20160126,SNWD,0,AUSTIN
USW00013904,20160126,AWND,75,AUSTIN
USW00013904,20160126,TAVG,112,AUSTIN
USW00013904,20160126,WDF2,20,AUSTIN
USW00013904,20160126,WDF5,30,AUSTIN
USW00013904,20160126,WSF2,143,AUSTIN
USW00013904,20160126,WSF5,170,AUSTIN
USW00013904,20160127,TMAX,144,AUSTIN
USW00013904,20160127,TMIN,0,AUSTIN
USW00013904,20160127,PRCP,0,AUSTIN
USW00013904,20160127,SNOW,0,AUSTIN
USW00013904,20160127,SNWD,0,AUSTIN
USW00013904,20160127,AWND,43,AUSTIN
USW00013904,20160127,TAVG,86,AUSTIN
USW00013904,20160127,WDF2,350,AUSTIN
USW00013904,20160127,WDF5,20,AUSTIN
USW00013904,20160127,WSF2,89,AUSTIN
USW00013904,20160127,WSF5,116,AUSTIN
USW00013904,20160128,TMAX,222,AUSTIN
USW00013904,20160128,TMIN,-27,AUSTIN
USW00013904,20160128,PRCP,0,AUSTIN
USW00013904,20160128,SNOW,0,AUSTIN
USW00013904,20160128,SNWD,0,AUSTIN
USW00013904,20160128,AWND,16,AUSTIN
USW00013904,20160128,TAVG,74,AUSTIN
USW00013904,20160128,WDF2,310,AUSTIN
USW00013904,20160128,WDF5,330,AUSTIN
USW00013904,20160128,WSF2,54,AUSTIN
USW00013904,20160128,WSF5,76,AUSTIN
USW00013904,20160129,TMAX,239,AUSTIN
USW00013904,20160129,TMIN,-5,AUSTIN
USW00013904,20160129,PRCP,0,AUSTIN
USW00013904,20160129,SNOW,0,AUSTIN
USW00013904,20160129,SNWD,0,AUSTIN
USW00013904,20160129,AWND,36,AUSTIN
USW00013904,20160129,TAVG,103,AUSTIN
USW00013904,20160129,WDF2,200,AUSTIN
USW00013904,20160129,WDF5,210,AUSTIN
USW00013904,20160129,WSF2,103,AUSTIN
USW00013904,20160129,WSF5,143,AUSTIN
USW00013904,20160130,TMAX,250,AUSTIN
USW00013904,20160130,TMIN,28,AUSTIN
USW00013904,20160130,PRCP,0,AUSTIN
USW00013904,20160130,SNOW,0,AUSTIN
USW00013904,20160130,SNWD,0,AUSTIN
USW00013904,20160130,AWND,47,AUSTIN
USW00013904,20160130,TAVG,142,AUSTIN
USW00013904,20160130,WDF2,180,AUSTIN
USW00013904,20160130,WDF5,200,AUSTIN
