date,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08,station,city
2016-01-01,72.0,0.0,0.0,0.0,8.6,10.0,6.7,20.0,20.0,116.0,157.0,,,,,,USW00013904,AUSTIN
2016-01-02,28.0,5.6,0.0,0.0,7.7,8.9,6.1,360.0,10.0,67.0,76.0,1.0,,,,,USW00013904,AUSTIN
2016-01-03,20.0,0.0,0.0,0.0,9.0,16.1,0.6,340.0,350.0,63.0,81.0,,,,,,USW00013904,AUSTIN
2016-01-04,26.0,0.0,0.0,0.0,6.6,14.4,0.0,50.0,40.0,63.0,98.0,,,,,,USW00013904,AUSTIN
2016-01-05,23.0,0.0,0.0,0.0,4.8,13.9,-1.6,70.0,40.0,45.0,63.0,,,,,,USW00013904,AUSTIN
2016-01-06,20.0,16.3,0.0,0.0,9.7,11.7,7.8,50.0,70.0,40.0,58.0,1.0,,1.0,,1.0,USW00013904,AUSTIN
2016-01-07,16.0,0.0,0.0,0.0,13.3,22.2,9.4,180.0,160.0,58.0,72.0,1.0,1.0,,,,USW00013904,AUSTIN
2016-01-08,21.0,0.0,0.0,0.0,11.3,18.9,2.8,300.0,310.0,89.0,125.0,1.0,1.0,,,,USW00013904,AUSTIN
2016-01-09,57.0,0.0,0.0,0.0,11.8,15.6,3.9,350.0,320.0,103.0,130.0,,,,,,USW00013904,AUSTIN
2016-01-10,38.0,0.0,0.0,0.0,4.7,10.0,-0.5,10.0,10.0,72.0,94.0,,,,,,USW00013904,AUSTIN
2016-01-11,11.0,0.0,0.0,0.0,5.0,13.9,-1.0,340.0,150.0,36.0,45.0,,,,,,USW00013904,AUSTIN
2016-01-12,14.0,0.0,0.0,0.0,6.9,18.3,-0.5,20.0,330.0,45.0,54.0,,,,,,USW00013904,AUSTIN
2016-01-13,23.0,0.0,0.0,0.0,7.9,18.9,-1.6,190.0,150.0,67.0,89.0,1.0,,,,,USW00013904,AUSTIN
2016-01-14,26.0,0.0,0.0,0.0,12.2,21.7,5.0,210.0,220.0,81.0,107.0,,,,,,USW00013904,AUSTIN
2016-01-15,21.0,0.0,0.0,0.0,14.7,21.1,2.8,320.0,320.0,67.0,103.0,,,,,,USW00013904,AUSTIN
2016-01-16,41.0,0.3,0.0,0.0,8.5,17.8,2.2,360.0,360.0,134.0,152.0,,,,,,USW00013904,AUSTIN
2016-01-17,22.0,0.0,0.0,0.0,6.4,13.9,-3.2,180.0,180.0,67.0,85.0,,,,,,USW00013904,AUSTIN
2016-01-18,12.0,0.0,0.0,0.0,5.3,14.4,-1.6,40.0,20.0,63.0,72.0,,,,,,USW00013904,AUSTIN
2016-01-19,38.0,0.0,0.0,0.0,9.6,21.1,0.6,190.0,200.0,103.0,130.0,1.0,1.0,,,,USW00013904,AUSTIN
2016-01-20,33.0,0.0,0.0,0.0,10.8,13.3,6.7,20.0,10.0,76.0,89.0,1.0,,,,,USW00013904,AUSTIN
2016-01-21,51.0,0.3,0.0,0.0,13.4,18.9,5.0,340.0,360.0,148.0,188.0,1.0,1.0,,,,USW00013904,AUSTIN
2016-01-22,54.0,0.0,0.0,0.0,7.9,12.8,-2.1,350.0,340.0,103.0,130.0,,,,,,USW00013904,AUSTIN
2016-01-23,18.0,0.0,0.0,0.0,4.2,14.4,-3.8,150.0,140.0,45.0,54.0,,,,,,USW00013904,AUSTIN
2016-01-24,41.0,0.0,0.0,0.0,7.7,21.1,-2.7,150.0,150.0,103.0,143.0,1.0,,,,,USW00013904,AUSTIN
2016-01-25,27.0,0.0,0.0,0.0,16.4,22.8,8.9,190.0,180.0,63.0,76.0,,,,,,USW00013904,AUSTIN
2016-01-26,75.0,4.1,0.0,0.0,11.2,13.9,6.1,20.0,30.0,143.0,170.0,,,,,,USW00013904,AUSTIN
2016-01-27,43.0,0.0,0.0,0.0,8.6,14.4,0.0,350.0,20.0,89.0,116.0,,,,,,USW00013904,AUSTIN
2016-01-28,16.0,0.0,0.0,0.0,7.4,22.2,-2.7,310.0,330.0,54.0,76.0,,,,,,USW00013904,AUSTIN
2016-01-29,36.0,0.0,0.0,0.0,10.3,23.9,-0.5,200.0,210.0,103.0,143.0,,,,,,USW00013904,AUSTIN
2016-01-30,47.0,0.0,0.0,0.0,14.2,25.0,2.8,180.0,200.0,98.0,130.0,,,,,,USW00013904,AUSTIN
2016-01-31,39.0,0.0,0.0,0.0,18.9,26.7,10.0,190.0,190.0,89.0,116.0,,,,,,USW00013904,AUSTIN
2016-02-01,47.0,0.0,0.0,0.0,16.1,25.6,6.7,150.0,150.0,107.0,130.0,1.0,1.0,,,1.0,USW00013904,AUSTIN
2016-02-02,35.0,0.0,0.0,0.0,18.2,22.2,5.6,310.0,300.0,89.0,130.0,,,,,1.0,USW00013904,AUSTIN
2016-02-03,55.0,0.0,0.0,0.0,9.7,15.0,-1.0,360.0,360.0,94.0,112.0,,,,,,USW00013904,AUSTIN
2016-02-04,22.0,0.0,0.0,0.0,5.8,14.4,-2.1,360.0,70.0,54.0,67.0,,,,,,USW00013904,AUSTIN
2016-02-05,27.0,0.0,0.0,0.0,5.3,16.1,-4.9,160.0,150.0,76.0,98.0,,,,,,USW00013904,AUSTIN
2016-02-06,46.0,0.0,0.0,0.0,11.3,16.1,0.0,340.0,350.0,130.0,161.0,,,1.0,,,USW00013904,AUSTIN
2016-02-07,32.0,0.0,0.0,0.0,6.7,18.9,-3.2,200.0,200.0,98.0,125.0,,,,,,USW00013904,AUSTIN
2016-02-08,55.0,0.0,0.0,0.0,10.9,18.3,2.2,360.0,320.0,98.0,134.0,,,,,,USW00013904,AUSTIN
2016-02-09,26.0,0.0,0.0,0.0,10.7,22.8,0.6,290.0,310.0,76.0,112.0,,,,,,USW00013904,AUSTIN
2016-02-10,26.0,0.0,0.0,0.0,10.4,22.8,-0.5,190.0,190.0,67.0,94.0,,,,,,USW00013904,AUSTIN
2016-02-11,37.0,0.0,0.0,0.0,16.4,26.7,1.1,190.0,190.0,98.0,121.0,,,,,,USW00013904,AUSTIN
2016-02-12,26.0,0.0,0.0,0.0,14.7,26.1,2.2,360.0,20.0,67.0,81.0,1.0,,,,,USW00013904,AUSTIN
2016-02-13,43.0,0.0,0.0,0.0,14.8,23.3,6.7,160.0,180.0,81.0,112.0,,,,,,USW00013904,AUSTIN
2016-02-14,46.0,0.0,0.0,0.0,17.0,24.4,11.1,200.0,190.0,103.0,134.0,,,,,,USW00013904,AUSTIN
2016-02-15,34.0,0.0,0.0,0.0,17.6,23.9,6.7,20.0,20.0,103.0,139.0,1.0,,,,,USW00013904,AUSTIN
2016-02-16,35.0,0.0,0.0,0.0,14.5,27.8,2.8,200.0,190.0,81.0,103.0,,,,,,USW00013904,AUSTIN
2016-02-17,31.0,0.0,0.0,0.0,14.6,23.9,2.8,180.0,170.0,63.0,81.0,,,,,,USW00013904,AUSTIN
2016-02-18,57.0,0.0,0.0,0.0,16.4,26.7,8.3,150.0,170.0,103.0,134.0,1.0,,,,1.0,USW00013904,AUSTIN
2016-02-19,64.0,0.0,0.0,0.0,20.6,27.2,17.8,180.0,170.0,130.0,165.0,,,,,,USW00013904,AUSTIN
2016-02-20,51.0,0.0,0.0,0.0,20.8,25.0,18.9,150.0,150.0,89.0,112.0,1.0,,,,,USW00013904,AUSTIN
2016-02-21,25.0,0.0,0.0,0.0,20.2,22.2,17.8,180.0,170.0,58.0,72.0,1.0,,,,,USW00013904,AUSTIN
2016-02-22,35.0,0.0,0.0,0.0,18.1,21.1,14.4,40.0,40.0,76.0,94.0,1.0,,,,,USW00013904,AUSTIN
2016-02-23,63.0,29.0,0.0,0.0,15.2,16.7,8.9,320.0,310.0,143.0,206.0,1.0,,1.0,,,USW00013904,AUSTIN
2016-02-24,43.0,0.0,0.0,0.0,11.2,18.3,5.0,350.0,350.0,98.0,125.0,,,,,,USW00013904,AUSTIN
2016-02-25,38.0,0.0,0.0,0.0,10.3,20.6,-1.6,20.0,30.0,94.0,116.0,,,,,,USW00013904,AUSTIN
2016-02-26,27.0,0.0,0.0,0.0,9.6,18.3,0.6,20.0,30.0,63.0,76.0,,,,,,USW00013904,AUSTIN
2016-02-27,36.0,0.0,0.0,0.0,10.9,22.2,1.7,170.0,180.0,94.0,112.0,,,,,,USW00013904,AUSTIN
2016-02-28,42.0,0.0,0.0,0.0,16.1,25.0,10.0,190.0,200.0,112.0,143.0,1.0,,,,,USW00013904,AUSTIN
2016-02-29,39.0,0.0,0.0,0.0,19.4,25.6,16.1,190.0,180.0,72.0,107.0,1.0,,,,,USW00013904,AUSTIN
2016-03-01,55.0,0.0,0.0,0.0,21.4,27.8,10.6,10.0,10.0,116.0,157.0,,,,,,USW00013904,AUSTIN
2016-03-02,46.0,0.0,0.0,0.0,14.9,25.0,3.3,180.0,180.0,98.0,125.0,,,,,,USW00013904,AUSTIN
2016-03-03,58.0,0.0,0.0,0.0,21.9,27.8,9.4,10.0,30.0,125.0,152.0,,,,,,USW00013904,AUSTIN
2016-03-04,22.0,0.0,0.0,0.0,14.5,23.9,3.3,180.0,200.0,58.0,81.0,,,,,,USW00013904,AUSTIN
2016-03-05,27.0,0.0,0.0,0.0,17.1,25.0,8.9,120.0,200.0,58.0,76.0,1.0,,,,,USW00013904,AUSTIN
2016-03-06,53.0,0.0,0.0,0.0,18.2,25.6,11.7,150.0,150.0,98.0,125.0,1.0,,,,,USW00013904,AUSTIN
