datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
15,0,1,15,15-Jan-0000 00:00:00,0,0,0
46,0,2,15,15-Feb-0000 00:00:00,0,0,0
75,0,3,15,15-Mar-0000 00:00:00,0,0,0
106,0,4,15,15-Apr-0000 00:00:00,0,0,0
136,0,5,15,15-May-0000 00:00:00,0,0,0
167,0,6,15,15-Jun-0000 00:00:00,0,0,0
197,0,7,15,15-Jul-0000 00:00:00,0,0,0
228,0,8,15,15-Aug-0000 00:00:00,0,0,0
259,0,9,15,15-Sep-0000 00:00:00,0,0,0
289,0,10,15,15-Oct-0000 00:00:00,0,0,0
320,0,11,15,15-Nov-0000 00:00:00,0,0,0
350,0,12,15,15-Dec-0000 00:00:00,0,0,0
381,1,1,15,15-Jan-0001 00:00:00,0,0,0
412,1,2,15,15-Feb-0001 00:00:00,0,0,0
440,1,3,15,15-Mar-0001 00:00:00,0,0,0
471,1,4,15,15-Apr-0001 00:00:00,0,0,0
501,1,5,15,15-May-0001 00:00:00,0,0,0
532,1,6,15,15-Jun-0001 00:00:00,0,0,0
562,1,7,15,15-Jul-0001 00:00:00,0,0,0
593,1,8,15,15-Aug-0001 00:00:00,0,0,0
624,1,9,15,15-Sep-0001 00:00:00,0,0,0
654,1,10,15,15-Oct-0001 00:00:00,0,0,0
685,1,11,15,15-Nov-0001 00:00:00,0,0,0
715,1,12,15,15-Dec-0001 00:00:00,0,0,0
746,2,1,15,15-Jan-0002 00:00:00,0,0,0
777,2,2,15,15-Feb-0002 00:00:00,0,0,0
805,2,3,15,15-Mar-0002 00:00:00,0,0,0
836,2,4,15,15-Apr-0002 00:00:00,0,0,0
866,2,5,15,15-May-0002 00:00:00,0,0,0
897,2,6,15,15-Jun-0002 00:00:00,0,0,0
927,2,7,15,15-Jul-0002 00:00:00,0,0,0
958,2,8,15,15-Aug-0002 00:00:00,0,0,0
989,2,9,15,15-Sep-0002 00:00:00,0,0,0
1019,2,10,15,15-Oct-0002 00:00:00,0,0,0
1050,2,11,15,15-Nov-0002 00:00:00,0,0,0
1080,2,12,15,15-Dec-0002 00:00:00,0,0,0
1111,3,1,15,15-Jan-0003 00:00:00,0,0,0
1142,3,2,15,15-Feb-0003 00:00:00,0,0,0
1170,3,3,15,15-Mar-0003 00:00:00,0,0,0
1201,3,4,15,15-Apr-0003 00:00:00,0,0,0
1231,3,5,15,15-May-0003 00:00:00,0,0,0
1262,3,6,15,15-Jun-0003 00:00:00,0,0,0
1292,3,7,15,15-Jul-0003 00:00:00,0,0,0
