date,PRCP,SNOW,SNWD,TMAX,TMIN,WT01,WT02,WT03,WT05,TAVG,station,city
2016-01-01,0.0,0.0,0.0,10.0,-0.5,,,,,4.975,USW00094290,SEATTLE
2016-01-02,0.0,0.0,0.0,7.8,-1.0,,,,,3.85,USW00094290,SEATTLE
2016-01-03,0.3,0.0,0.0,5.0,-0.5,,,,,2.475,USW00094290,SEATTLE
2016-01-04,1.8,0.0,0.0,3.3,2.2,1.0,,,,1.7600000000000002,USW00094290,SEATTLE
2016-01-05,2.3,0.0,0.0,6.1,3.3,1.0,,,,3.215,USW00094290,SEATTLE
2016-01-06,0.0,0.0,0.0,12.8,1.7,,,,,6.484999999999999,USW00094290,SEATTLE
2016-01-07,0.0,0.0,0.0,6.1,0.0,1.0,,,,3.05,USW00094290,SEATTLE
2016-01-08,0.0,0.0,0.0,9.4,1.7,,,,,4.785,USW00094290,SEATTLE
2016-01-09,0.0,0.0,0.0,6.7,-1.6,,,,,3.2700000000000005,USW00094290,SEATTLE
2016-01-10,0.0,0.0,0.0,10.6,-0.5,,,,,5.275,USW00094290,SEATTLE
2016-01-11,5.1,0.0,0.0,6.7,-2.1,1.0,,,,3.245,USW00094290,SEATTLE
2016-01-12,14.5,0.0,0.0,8.9,5.0,1.0,,,,4.7,USW00094290,SEATTLE
2016-01-13,9.1,0.0,0.0,11.7,5.6,,,,,6.13,USW00094290,SEATTLE
2016-01-14,0.0,0.0,0.0,11.1,2.2,,,,,5.66,USW00094290,SEATTLE
2016-01-15,1.8,0.0,0.0,8.3,-0.5,1.0,,,,4.125,USW00094290,SEATTLE
2016-01-16,13.5,0.0,0.0,12.2,5.6,1.0,,,,6.38,USW00094290,SEATTLE
2016-01-17,9.1,0.0,0.0,10.0,6.7,1.0,,,,5.335,USW00094290,SEATTLE
2016-01-18,1.8,0.0,0.0,12.2,5.6,,,,,6.38,USW00094290,SEATTLE
2016-01-19,9.1,0.0,0.0,7.8,5.6,,,,,4.18,USW00094290,SEATTLE
2016-01-20,3.6,0.0,0.0,10.6,4.4,,,,,5.5200000000000005,USW00094290,SEATTLE
2016-01-21,42.2,0.0,0.0,9.4,6.7,1.0,,,,5.035,USW00094290,SEATTLE
2016-01-22,7.6,0.0,0.0,13.3,6.7,1.0,,,,6.984999999999999,USW00094290,SEATTLE
2016-01-23,14.0,0.0,0.0,7.8,5.0,1.0,,,,4.15,USW00094290,SEATTLE
2016-01-24,1.3,0.0,0.0,10.6,2.8,,,,,5.4399999999999995,USW00094290,SEATTLE
2016-01-25,0.0,0.0,0.0,12.2,1.7,,,,,6.1850000000000005,USW00094290,SEATTLE
2016-01-26,6.9,0.0,0.0,11.7,7.2,,,,,6.21,USW00094290,SEATTLE
