name,country,age,height,weight,sex,birth,gold,silver,bronze,total,sport,event
Jennifer Abel,Canada,20,160.0,62.0,F,1991-08-23 00:00:00,0,0,1,1,Diving,"Women's 3m Springboard, Women's Synchronised 3m Springboard"
Alaaeldin Abouelkassem,Egypt,21,188.0,82.0,M,1990-11-25 00:00:00,0,1,0,1,Fencing,"Men's Individual Foil, Men's Team Foil"
Chantal Achterberg,Netherlands,27,171.0,72.0,F,1985-04-16 00:00:00,0,0,1,1,Rowing,Women's Eight
Filip Adamski,Germany,29,189.0,90.0,M,1983-01-05 00:00:00,1,0,0,1,Rowing,Men's Eight
Rebecca Adlington,Great Britain,23,179.0,70.0,F,1989-02-17 00:00:00,0,0,1,1,Swimming,"Women's 400m Freestyle, Women's 800m Freestyle"
Nathan Adrian,United States of America,23,201.0,102.0,M,1988-12-07 00:00:00,1,1,0,2,Swimming,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
Kseniia Afanaseva,Russian Federation,20,158.0,48.0,F,1991-09-13 00:00:00,0,1,0,1,Gymnastics - Artistic,"Women's Team, Women's Qualification"
Yannick Agnel,France,20,202.0,90.0,M,1992-06-09 00:00:00,2,1,0,3,Swimming,"Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Mayra Aguiar,Brazil,21,178.0,78.0,F,1991-08-03 00:00:00,0,0,1,1,Judo,Women's -78kg
Hannes Aigner,Germany,23,183.0,80.0,M,1989-03-19 00:00:00,0,0,1,1,Canoe Slalom,Men's Kayak (K1)
Nasser Al-Attiya,Qatar,41,178.0,70.0,M,1970-12-21 00:00:00,0,0,1,1,Shooting,Men's Skeet
Sara Algotsson Ostholt,Sweden,37,162.0,55.0,F,1974-12-08 00:00:00,0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, WEGA"
Yuri Alvear,Colombia,26,174.0,70.0,F,1986-03-29 00:00:00,0,0,1,1,Judo,Women's -70kg
Kum Ae An,Democratic People's Republic  of Korea,32,160.0,52.0,F,1980-06-03 00:00:00,1,0,0,1,Judo,Women's -52kg
Alyssa Anderson,United States of America,21,173.0,64.0,F,1990-09-30 00:00:00,1,0,0,1,Swimming,Women's 4x200m Freestyle Relay
Kristin Armstrong,United States of America,38,173.0,58.0,F,1973-08-11 00:00:00,1,0,0,1,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Judith Arndt,Germany,36,173.0,59.0,F,1976-07-23 00:00:00,0,1,0,1,"Cycling - Road, Cycling - Track","Women's Individual Time Trial, Women's Road Race, Women's Team Pursuit"
Sandra Auffarth,Germany,25,170.0,58.0,F,1986-12-27 00:00:00,1,0,1,2,Equestrian,"Individual Eventing, Team Eventing, OPGUN LOUVO"
Mariana Avitia,Mexico,18,164.0,61.0,F,1993-09-18 00:00:00,0,0,1,1,Archery,"Women's Individual, Women's Team"
Alexander Kristoff,Norway,25,78.0,78.0,M,1987-07-05 00:00:00,0,0,1,1,Cycling - Road,Men's Road Race
Alina Dumitru,Romania,29,158.0,48.0,F,1982-08-30 00:00:00,0,1,0,1,Judo,Women's -48kg
Carina BAER,Germany,22,186.0,74.0,F,1990-01-23 00:00:00,0,1,0,1,Rowing,Women's Quadruple Sculls
Tim Baillie,Great Britain,33,176.0,78.0,M,1979-05-11 00:00:00,1,0,0,1,Canoe Slalom,Men's Canoe Double (C2)
Angie Bainbridge,Australia,22,181.0,67.0,F,1989-10-16 00:00:00,0,1,0,1,Swimming,Women's 4x200m Freestyle Relay
Coralie Balmy,France,25,180.0,67.0,F,1987-06-02 00:00:00,0,0,1,1,Swimming,"Women's 400m Freestyle, Women's 800m Freestyle, Women's 4x200m Freestyle Relay"
Bronte Barratt,Australia,23,171.0,59.0,F,1989-02-08 00:00:00,0,1,1,2,Swimming,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x200m Freestyle Relay"
Jacob Barsoe,Denmark,23,188.0,73.0,M,1988-09-21 00:00:00,0,0,1,1,Rowing,Men's Lightweight Four
Danka Bartekova,Slovakia,27,170.0,55.0,F,1984-10-19 00:00:00,0,0,1,1,Shooting,Women's Skeet
Chris Bartley,Great Britain,28,178.0,73.0,M,1984-02-02 00:00:00,0,1,0,1,Rowing,Men's Lightweight Four
Romano Battisti,Italy,25,190.0,92.0,M,1986-08-21 00:00:00,0,1,0,1,Rowing,Men's Double Sculls
Gregory Bauge,France,27,181.0,94.0,M,1985-01-31 00:00:00,0,1,0,1,Cycling - Track,"Men's Sprint, Men's Team Sprint"
Elizabeth Beisel,United States of America,19,168.0,66.0,F,1992-08-18 00:00:00,0,1,0,1,Swimming,"Women's 200m Backstroke, Women's 400m Individual Medley"
Claudia Belderbos,Netherlands,27,176.0,72.0,F,1985-01-23 00:00:00,0,0,1,1,Rowing,Women's Eight
