,team,player_number,club,position,fifa_name,birth,name,height,weight
0,Argentina,1,Tigres UANL (MEX),GK,GUZMAN Nahuel,1986-10-02,GUZMÁN,192,90
1,Argentina,2,Sevilla FC (ESP),DF,MERCADO Gabriel,1987-03-18,MERCADO,181,81
2,Argentina,3,AFC Ajax (NED),DF,TAGLIAFICO Nicolas,1992-08-31,TAGLIAFICO,169,65
3,Argentina,4,Torino FC (ITA),DF,ANSALDI Cristian,1986-09-20,ANSALDI,181,73
4,Argentina,5,AC Milan (ITA),MF,BIGLIA Lucas,1986-01-30,BIGLIA,175,73
5,Argentina,6,AS Roma (ITA),DF,FAZIO Federico,1987-03-17,FAZIO,199,85
6,Argentina,7,Sevilla FC (ESP),MF,BANEGA Ever,1988-06-29,BANEGA,175,73
7,Argentina,8,Sporting CP (POR),DF,ACUNA Marcos,1991-10-28,ACUÑA,172,77
8,Argentina,9,Juventus FC (ITA),FW,HIGUAIN Gonzalo,1987-10-12,HIGUAÍN,184,75
9,Argentina,10,FC Barcelona (ESP),FW,MESSI Lionel,1987-06-24,MESSI,170,72
10,Argentina,11,Paris Saint-Germain FC (FRA),MF,DI MARIA Angel,1988-02-14,DI MARÍA,178,75
11,Argentina,12,CA River Plate (ARG),GK,ARMANI Franco,1986-10-16,ARMANI,189,85
12,Argentina,13,CA Independiente (ARG),MF,MEZA Maximiliano,1992-12-15,MEZA,180,76
13,Argentina,14,Hebei China Fortune FC (CHN),DF,MASCHERANO Javier,1984-08-06,MASCHERANO,174,73
14,Argentina,15,West Ham United FC (ENG),MF,LANZINI Manuel,1993-02-15,LANZINI,167,66
15,Argentina,16,Manchester United FC (ENG),DF,ROJO Marcos,1990-03-20,ROJO,189,82
16,Argentina,17,Manchester City FC (ENG),DF,OTAMENDI Nicolas,1988-12-02,OTAMENDI,181,81
17,Argentina,18,SL Benfica (POR),DF,SALVIO Eduardo,1990-07-13,SALVIO,167,69
18,Argentina,19,Manchester City FC (ENG),FW,AGUERO Sergio,1988-02-06,AGÜERO,172,74
19,Argentina,20,Paris Saint-Germain FC (FRA),MF,LO CELSO Giovani,1996-09-04,LO CELSO,177,75
20,Argentina,21,Juventus FC (ITA),FW,DYBALA Paulo,1993-11-15,DYBALA,177,73
21,Argentina,22,CA Boca Juniors (ARG),MF,PAVON Cristian,1996-01-21,PAVÓN,169,65
22,Argentina,23,Chelsea FC (ENG),GK,CABALLERO Wilfredo,1981-09-28,CABALLERO,186,80
23,Australia,1,Brighton & Hove Albion FC (ENG),GK,RYAN Mathew,1992-08-04,RYAN,184,82
24,Australia,2,Yokohama F-Marinos (JPN),DF,DEGENEK Milos,1994-04-28,DEGENEK,187,85
25,Australia,3,Millwall FC (ENG),DF,MEREDITH James,1988-05-04,MEREDITH,179,71
26,Australia,4,Millwall FC (ENG),FW,CAHILL Tim,1979-06-12,CAHILL,180,76
27,Australia,5,Al Ahli SC (KSA),DF,MILLIGAN Mark,1985-04-08,MILLIGAN,178,78
28,Australia,6,Suwon Samsung Bluewings FC (KOR),DF,JURMAN Matthew,1989-08-12,JURMAN,190,83
29,Australia,7,Hertha BSC (GER),FW,LECKIE Mathew,1991-04-02,LECKIE,181,84
30,Australia,8,Queens Park Rangers FC (ENG),MF,LUONGO Massimo,1992-09-25,LUONGO,176,76
31,Australia,9,FC Luzern (SUI),FW,JURIC Tomi,1991-07-22,JURIC,190,80
32,Australia,10,VfL Bochum (GER),FW,KRUSE Robbie,1988-05-10,KRUSE,180,66
33,Australia,11,Urawa Reds (JPN),FW,NABBOUT Andrew,1992-12-17,NABBOUT,178,85
34,Australia,12,Feyenoord Rotterdam (NED),GK,JONES Brad,1982-03-19,JONES,193,87
35,Australia,13,Huddersfield Town FC (ENG),MF,MOOY Aaron,1990-09-15,MOOY,173,72
36,Australia,14,Hibernian FC (SCO),FW,MacLAREN Jamie,1993-07-29,MACLAREN,178,72
37,Australia,15,Aston Villa FC (ENG),MF,JEDINAK Mile,1984-03-08,JEDINAK,188,78
38,Australia,16,Bursaspor (TUR),DF,BEHICH Aziz,1990-12-16,BEHICH,170,63
39,Australia,17,Melbourne City FC (AUS),FW,ARZANI Daniel,1999-04-01,ARZANI,171,73
40,Australia,18,KRC Genk (BEL),GK,VUKOVIC Danny,1985-03-27,VUKOVIC,187,94
41,Australia,19,WS Wanderers FC (AUS),DF,RISDON Joshua,1992-07-27,RISDON,169,70
42,Australia,20,Grasshopper Club (SUI),DF,SAINSBURY Trent,1992-05-01,SAINSBURY,183,76
43,Australia,21,Newcastle United Jets FC (AUS),FW,PETRATOS Dimitrios,1992-10-11,PETRATOS,176,72
44,Australia,22,Hull City FC (ENG),MF,IRVINE Jackson,1993-07-03,IRVINE,180,77
