Time,"Time Code","Country Name","Country Code","GDP (current US$) [NY.GDP.MKTP.CD]","Mobile cellular subscriptions [IT.CEL.SETS]","Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2]"
1960,"YR1960","Afghanistan","AFG","537777811.111111","0","0"
1960,"YR1960","Albania","ALB","NA","0","0"
1960,"YR1960","Algeria","DZA","2723648551.75208","0","0"
1960,"YR1960","American Samoa","ASM","NA","0","0"
1960,"YR1960","Andorra","AND","NA","0","0"
1960,"YR1960","Angola","AGO","NA","0","0"
1960,"YR1960","Antigua and Barbuda","ATG","NA","0","0"
1960,"YR1960","Argentina","ARG","NA","0","0"
1960,"YR1960","Armenia","ARM","NA","0","0"
1960,"YR1960","Aruba","ABW","NA","0","0"
1960,"YR1960","Australia","AUS","18573188486.9526","0","0"
1960,"YR1960","Austria","AUT","6592693841.18495","0","0"
1960,"YR1960","Azerbaijan","AZE","NA","0","0"
1960,"YR1960","Bahamas, The","BHS","169803921.568627","0","0"
1960,"YR1960","Bahrain","BHR","NA","0","0"
1960,"YR1960","Bangladesh","BGD","4274893913.49536","0","0"
1960,"YR1960","Barbados","BRB","NA","0","0"
1960,"YR1960","Belarus","BLR","NA","0","0"
1960,"YR1960","Belgium","BEL","11658722590.99","0","0"
1960,"YR1960","Belize","BLZ","28071888.5622288","0","0"
1960,"YR1960","Benin","BEN","226195579.35701","0","0"
1960,"YR1960","Bermuda","BMU","84466654.0801544","0","0"
1960,"YR1960","Bhutan","BTN","NA","0","0"
1960,"YR1960","Bolivia","BOL","373879363.595386","0","0"
1960,"YR1960","Bosnia and Herzegovina","BIH","NA","0","0"
1960,"YR1960","Botswana","BWA","30412308.9864012","0","0"
1960,"YR1960","Brazil","BRA","15165569912.5199","0","0"
1960,"YR1960","British Virgin Islands","VGB","NA","0","0"
1960,"YR1960","Brunei Darussalam","BRN","NA","0","0"
1960,"YR1960","Bulgaria","BGR","NA","0","0"
1960,"YR1960","Burkina Faso","BFA","330442817.168859","0","0"
1960,"YR1960","Burundi","BDI","195999990","0","0"
1960,"YR1960","Cabo Verde","CPV","NA","0","0"
1960,"YR1960","Cambodia","KHM","637142865.714286","0","0"
1960,"YR1960","Cameroon","CMR","618740988.011405","0","0"
1960,"YR1960","Canada","CAN","41093453544.9096","0","0"
1960,"YR1960","Cayman Islands","CYM","NA","0","0"
1960,"YR1960","Central African Republic","CAF","112155598.949571","0","0"
1960,"YR1960","Chad","TCD","313582727.638056","0","0"
1960,"YR1960","Channel Islands","CHI","NA","NA","NA"
1960,"YR1960","Chile","CHL","4110000000","0","0"
1960,"YR1960","China","CHN","59716467625.3148","0","0"
1960,"YR1960","Colombia","COL","4031152976.63904","0","0"
1960,"YR1960","Comoros","COM","NA","0","0"
1960,"YR1960","Congo, Dem. Rep.","COD","3359404117.64706","0","0"
1960,"YR1960","Congo, Rep.","COG","131731862.568975","0","0"
1960,"YR1960","Costa Rica","CRI","507513829.994855","0","0"
1960,"YR1960","Cote d'Ivoire","CIV","546203561.571989","0","0"
1960,"YR1960","Croatia","HRV","NA","0","0"
1960,"YR1960","Cuba","CUB","NA","0","0"
1960,"YR1960","Curacao","CUW","NA","NA","NA"
1960,"YR1960","Cyprus","CYP","NA","0","0"
1960,"YR1960","Czech Republic","CZE","NA","0","0"
1960,"YR1960","Denmark","DNK","6248946880.2777","0","0"
1960,"YR1960","Djibouti","DJI","NA","0","0"
1960,"YR1960","Dominica","DMA","NA","0","0"
1960,"YR1960","Dominican Republic","DOM","672399700","0","0"
1960,"YR1960","Ecuador","ECU","2069465326.41882","0","0"
1960,"YR1960","Egypt, Arab Rep.","EGY","NA","0","0"
1960,"YR1960","El Salvador","SLV","NA","0","0"
1960,"YR1960","Equatorial Guinea","GNQ","NA","0","0"
1960,"YR1960","Eritrea","ERI","NA","0","0"
1960,"YR1960","Estonia","EST","NA","0","0"
1960,"YR1960","Eswatini","SWZ","35076158.4768305","0","0"
1960,"YR1960","Ethiopia","ETH","NA","0","0"
1960,"YR1960","Faroe Islands","FRO","NA","0","0"
1960,"YR1960","Fiji","FJI","112328422.113084","0","0"
1960,"YR1960","Finland","FIN","5224102195.52771","0","0"
1960,"YR1960","France","FRA","62651474946.6007","0","0"
1960,"YR1960","French Polynesia","PYF","NA","0","0"
1960,"YR1960","Gabon","GAB","141468977.570007","0","0"
1960,"YR1960","Gambia, The","GMB","NA","0","0"
1960,"YR1960","Georgia","GEO","NA","0","0"
1960,"YR1960","Germany","DEU","NA","0","0"
1960,"YR1960","Ghana","GHA","1217230038.26781","0","0"
1960,"YR1960","Gibraltar","GIB","NA","0","0"
1960,"YR1960","Greece","GRC","4446528164.67559","0","0"
1960,"YR1960","Greenland","GRL","NA","0","0"
1960,"YR1960","Grenada","GRD","NA","0","0"
1960,"YR1960","Guam","GUM","NA","0","0"
1960,"YR1960","Guatemala","GTM","1043599900","0","0"
1960,"YR1960","Guinea","GIN","NA","0","0"
1960,"YR1960","Guinea-Bissau","GNB","NA","0","0"
1960,"YR1960","Guyana","GUY","170215248.206265","0","0"
1960,"YR1960","Haiti","HTI","273187200","0","0"
1960,"YR1960","Honduras","HND","335650000","0","0"
1960,"YR1960","Hong Kong SAR, China","HKG","1320796651.69457","0","0"
1960,"YR1960","Hungary","HUN","NA","0","0"
