Series ID,Year,Period,Label,Value,6-Month Net Change
LNS14000000Q,2013,Q01,2013 Qtr1,7.7,-0.3
LNS14000000Q,2013,Q02,2013 Qtr2,7.5,-0.3
LNS14000000Q,2013,Q03,2013 Qtr3,7.3,-0.4
LNS14000000Q,2013,Q04,2013 Qtr4,7.0,-0.5
LNS14000000Q,2014,Q01,2014 Qtr1,6.6,-0.7
LNS14000000Q,2014,Q02,2014 Qtr2,6.2,-0.8
LNS14000000Q,2014,Q03,2014 Qtr3,6.1,-0.5
LNS14000000Q,2014,Q04,2014 Qtr4,5.7,-0.5
LNS14000000Q,2015,Q01,2015 Qtr1,5.5,-0.6
LNS14000000Q,2015,Q02,2015 Qtr2,5.4,-0.3
LNS14000000Q,2015,Q03,2015 Qtr3,5.1,-0.4
LNS14000000Q,2015,Q04,2015 Qtr4,5.0,-0.4
LNS14000000Q,2016,Q01,2016 Qtr1,4.9,-0.2
LNS14000000Q,2016,Q02,2016 Qtr2,4.9,-0.1
LNS14000000Q,2016,Q03,2016 Qtr3,4.9,0.0
LNS14000000Q,2016,Q04,2016 Qtr4,4.8,-0.1
LNS14000000Q,2017,Q01,2017 Qtr1,4.6,-0.3
LNS14000000Q,2017,Q02,2017 Qtr2,4.4,-0.4
LNS14000000Q,2017,Q03,2017 Qtr3,4.3,-0.3
LNS14000000Q,2017,Q04,2017 Qtr4,4.2,-0.2
LNS14000000Q,2018,Q01,2018 Qtr1,4.0,-0.3
LNS14000000Q,2018,Q02,2018 Qtr2,3.9,-0.3
LNS14000000Q,2018,Q03,2018 Qtr3,3.8,-0.2
LNS14000000Q,2018,Q04,2018 Qtr4,3.8,-0.1
LNS14000000Q,2019,Q01,2019 Qtr1,3.8,0.0
LNS14000000Q,2019,Q02,2019 Qtr2,3.7,-0.1
LNS14000000Q,2019,Q03,2019 Qtr3,3.6,-0.2
LNS14000000Q,2019,Q04,2019 Qtr4,3.6,-0.1
LNS14000000Q,2020,Q01,2020 Qtr1,3.8,0.2
LNS14000000Q,2020,Q02,2020 Qtr2,13.0,9.4
LNS14000000Q,2020,Q03,2020 Qtr3,8.8,5.0
LNS14000000Q,2020,Q04,2020 Qtr4,6.7,-6.3
LNS14000000Q,2021,Q01,2021 Qtr1,6.2,-2.6
