 Id Company                                  Product    Price
0    Lenovo                              ThinkPad 13   960.00
1     Apple                              MacBook Pro  1518.55
2      Dell                                   XPS 13  1268.00
3    Lenovo                            ThinkPad Yoga  2025.00
4    Lenovo                       IdeaPad 520S-14IKB   599.00
5      Dell                           Precision 5520  2135.00
6      Dell                            Inspiron 3552   379.00
7      Dell                              Vostro 5568   912.50
8    Lenovo                              ThinkPad X1  2339.00
9      Dell                            Inspiron 5579  1049.00
10   Lenovo             V110-15IAP (N3350/4GB/1TB/No   252.36
11   Lenovo                       Legion Y520-15IKBN  1109.00
12    Apple                              MacBook 12"  1262.40
13     Dell                            Inspiron 5570   749.00
14     Dell                            Inspiron 3567   649.00
15   Lenovo                           ThinkPad T470s  2299.00
16   Lenovo                       Legion Y520-15IKBN  1149.00
17   Lenovo                              Thinkpad 13  1010.00
18     Dell                            Inspiron 3567   599.00
19     Dell                            Latitude 5580  1008.52
20     Dell                            Latitude 3580   729.90
21   Lenovo                        Ideapad 700-15ISK   977.00
22     Dell                              Vostro 5568   795.00
23   Lenovo                       IdeaPad 320-15IKBN   467.00
24     Dell                            Inspiron 7570  1142.75
25     Dell                              Vostro 3568   708.06
26   Lenovo                           Yoga 700-11ISK  1299.00
27     Dell                           Latitude E5270  1135.15
28   Lenovo                        IdeaPad 320-17IKB   649.00
29     Dell                            Latitude 5480  1279.73
30     Dell                            Latitude 5480  1205.00
31   Lenovo                              ThinkPad 13   949.00
32     Dell                              Vostro 3568   547.00
33     Dell                              Vostro 3568   665.00
34   Lenovo                           Yoga 900-13ISK  1499.00
35     Dell                            Inspiron 3168   479.00
36    Apple                              MacBook Air   998.00
37   Lenovo                              Thinkpad X1  2499.00
38     Dell                            Inspiron 3567   465.62
39     Dell                            Inspiron 7567   899.00
40   Lenovo                            ThinkPad E480  1116.02
41     Dell                                   XPS 13  1379.00
42   Lenovo                       IdeaPad 100S-14IBR   229.00
43   Lenovo                           ThinkPad T470s  1799.00
44     Dell                            Inspiron 5370   931.88
45   Lenovo                       IdeaPad 320-15IKBN   499.00
46     Dell                              Vostro 5568  1009.90
47   Lenovo                        IdeaPad 320-15IAP   349.00
48   Lenovo                        Ideapad 320-15ISK   579.00
49     Dell                            Inspiron 3567   585.00
50   Lenovo                           ThinkPad T460s  2299.00
51   Lenovo                        IdeaPad 320-17IKB   589.00
52     Dell                            Latitude 5480  1089.00
53   Lenovo                           Yoga 510-15IKB   959.00
54     Dell                                   XPS 15  2639.00
55    Apple                              Macbook Air  1158.70
56     Dell                              Vostro 5568   836.00
57     Dell                            Inspiron 3567   359.00
58   Lenovo                       IdeaPad 320-15IKBN   549.00
