 Id  Company                                        Product    Price
0       Acer                                       Aspire 3   400.00
1       Asus                                ZenBook UX430UN  1495.00
2       Acer                                        Swift 3   770.00
3       Asus                                Vivobook E200HA   191.90
4       Asus           E402WA-GA010T (E2-6110/2GB/32GB/W10)   199.00
5       Acer                                       Aspire 3   367.00
6       Asus      X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)   389.00
7       Asus         X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce   522.99
8       Acer                                Aspire A515-51G   682.00
9       Asus                                      Rog Strix  1299.00
10      Asus           X751NV-TY001T (N4200/4GB/1TB/GeForce   466.00
11      Acer                                Aspire A515-51G   841.00
12      Acer                                       Aspire 3   384.00
13      Asus                                   VivoBook Max   586.19
14      Asus   X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)   415.00
15      Asus    UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)   941.00
16      Asus                                    ZenBook Pro  1983.00
17      Asus      FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce   949.00
18      Acer                                  Aspire E5-475   389.00
19      Asus      FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce   949.00
20      Acer                           Aspire A515-51G-32MX   530.00
21      Acer                                       Aspire 3   395.00
22      Asus             FX503VM-E4007T (i7-7700HQ/16GB/1TB  1449.00
23      Asus        FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon   699.00
24      Acer                                       Aspire 5   689.00
25      Asus                                Zenbook UX430UA  1049.00
26      Acer                                         Spin 5   847.00
27      Asus     X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce   577.00
28      Asus     UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce  1193.00
29      Asus                                   VivoBook S15  1262.00
30      Asus        X705UV-BX074T (i3-6006U/4GB/1TB/GeForce   564.00
31      Asus                                   VivoBook S15  1118.00
32      Acer                                         Spin 3   479.00
33      Acer                                       Aspire 3   451.00
34      Asus            E402WA-GA007T (E2-6110/4GB/64GB/W10   277.99
35      Acer                                        Swift 3   884.00
36      Acer                           Aspire A515-51G-37JS   572.00
37      Asus              FX753VD-GC086T (i5-7300HQ/8GB/1TB   938.00
38      Acer                                       Aspire 5   655.00
39   Toshiba                                  Satellite Pro   602.00
40      Asus                                ZenBook UX430UA  1099.00
41      Asus                 X541NA (N3350/4GB/1TB/FHD/W10)   344.00
