Temp9am  Temp3pm  WindSpeed9am  WindSpeed3pm
    8.6     11.5          24.0          22.0
   14.2     17.0          24.0          20.0
   15.1     22.5          26.0          20.0
   17.5     24.3          24.0          19.0
   16.2     27.4           6.0          19.0
    5.8     18.8           0.0          13.0
   20.3     32.0           4.0          15.0
    2.5      8.6           6.0          31.0
   15.4     30.9          11.0          11.0
   22.2     30.7          39.0          19.0
   30.4     29.3          11.0          20.0
   11.0     17.8           9.0          30.0
   21.7     25.6          13.0          15.0
   25.5     33.9          13.0           7.0
   13.4     19.2           6.0          15.0
   25.2     25.3          11.0          30.0
   10.6     15.0           9.0          17.0
   26.7     21.7           9.0          30.0
   20.5     23.1           6.0          17.0
