MinTemp  MaxTemp  Humidity9am  Humidity3pm
   20.8     30.1         83.0         58.0
   14.0     19.3         72.0         68.0
   23.7     31.2         59.0         60.0
    0.1     19.6         70.0         35.0
   11.0     19.9         68.0         61.0
    6.4     19.5         81.0         42.0
    NaN     20.2         67.0          NaN
    6.5     21.2         85.0         43.0
   14.1     21.9         80.0         66.0
   10.1     21.4         64.0         48.0
   14.0     19.5         86.0         72.0
    2.0     16.0         79.0         56.0
   14.1     26.9         51.0         45.0
   22.7     29.4         93.0         80.0
   22.8     25.4         98.0         95.0
   13.1     26.8         38.0         31.0
   14.6     28.7         52.0         33.0
   11.4     19.7         93.0         72.0
   20.7     28.4         65.0         58.0
    8.9     29.0         63.0         17.0
   11.2     13.6         90.0         87.0
   18.8     30.0         50.0         30.0
    5.5     13.9         92.0         88.0
   17.5     24.2         77.0         84.0
   20.0     28.1         79.0         73.0
   20.8     27.1         82.0         59.0
   11.3     23.9         61.0         34.0
   23.4     35.5         40.0         34.0
    8.0     14.6         91.0         84.0
   16.2     33.7         79.0         38.0
    8.9     13.6         65.0         47.0
   21.8     27.2         94.0         64.0
   13.1     15.7         76.0         88.0
   17.3     27.0         63.0         50.0
    1.8     17.9         69.0         50.0
    9.3     18.8         76.0         61.0
   14.7     36.9         37.0         13.0
   15.1     22.9         88.0         64.0
   11.5     18.4         44.0         33.0
    6.9     19.8         77.0         35.0
    7.2     19.7         64.0         38.0
   12.9     26.1         67.0         38.0
   20.7     30.7         76.0         73.0
    7.2     14.7         99.0         95.0
    3.7     15.5         65.0         51.0
   17.5     36.2         41.0         15.0
    3.2     23.4         71.0         41.0
    6.3     20.4         64.0         38.0
   10.8     17.3         87.0         78.0
   20.0     20.7         69.0         80.0
   17.2     27.2         77.0         71.0
   13.3     26.0         58.0         55.0
   16.5     29.7         66.0         49.0
    0.5     19.2        100.0         37.0
    7.4     21.2         66.0         51.0
   12.7     31.3         45.0         40.0
   15.6     24.0         73.0         45.0
   23.6     38.9         28.0         12.0
    5.1     19.0         62.0         42.0
   20.5     26.0          NaN         80.0
   -2.1      0.4         91.0         87.0
   18.5     28.2         55.0         66.0
   16.7     29.2         63.0         48.0
   13.5     24.2         50.0         35.0
   18.4     25.9         68.0         58.0
   12.7     28.3         33.0         32.0
    9.9     15.4         79.0         58.0
   11.4     26.0         61.0         45.0
   11.3     18.1         75.0         61.0
   15.5     27.1         69.0         43.0
   18.9     27.8         91.0         72.0
   12.3     22.6         88.0         66.0
   15.8     22.7         67.0         90.0
    4.6     30.1         49.0         24.0
    9.1     14.9         66.0         75.0
   18.2     30.8         37.0         28.0
    9.6     21.2         89.0         44.0
    5.5     18.0         62.0         45.0
    3.8     10.4         94.0         70.0
    8.6     22.0         74.0         53.0
    5.5     23.8         75.0         27.0
   15.4     19.2         66.0         61.0
    7.6     22.2         67.0         54.0
    7.1     16.8         87.0         60.0
   -2.0     15.5         90.0         46.0
   11.7     15.5          NaN          NaN
    NaN     18.2          NaN          NaN
    7.3     17.5         74.0         49.0
   21.4     35.5         56.0         81.0
   18.0     21.9         81.0         76.0
   21.1     33.1         26.0         15.0
   20.2     40.0         52.0         19.0
   11.7     25.4         85.0         44.0
    6.1     17.6         94.0         63.0
   15.4     33.2         51.0         16.0
    6.6     24.2         85.0         36.0
   16.4     28.9         56.0         34.0
    0.8     16.1         82.0         55.0
   21.7     33.2         69.0         52.0
   13.5     18.7         94.0         74.0
