;score;review
1249;1;Il grande ritorno!: E' dai tempi del tour di empire che non vedevo i queensryche così in gran forma, questo dvd per me è il migliore di tutta la loro carriera, e la consacrazione di una band, dopo questo dvd si può tranquillamente dire che i queenssryche sono entrati nella storia del grande rock come i Deep purple, led zeppelin e thin lizzy negli anni settanta.I queensryche sempre si sono distinti dagli altri gruppi del loro genere, Geoff Tate è uno dei più importanti vocalists di tutti i tempi.Questo dvd è musica e teatro, la collaborazione più stretta con Pamela Moore rende questo dvd imperdibile.Una sola nota negativa, purtroppo nella composizione della seconda parte si sente l'assenza di Chris De Garmo,Mike Stone è un grande chitarrista, ma Chris De Garmo per me era fondamentale per la band, hanno perso la parte più melodoca, che era a mio parere molto importante in questo gruppo!\r\n
1259;1;La reencarnación vista por un científico: El primer libro del Dr. Weiss sigue siendo un gran libro para todos aquellos a quienes les inquieta el tema de la reencarnación, así no crean en ella.\r\n
1260;1;Excelente Libro / Amazing book!!: Este libro ha sido uno de los mejores libros que he leido, soy adicta a la lectura y este libro me ayudo en muchas formas. Te ensena a analizar muchas cosas, a comprender otras con respecto a la vida y te lleva a tener una mente mas abierta cuando por ejemplo te pone a dudar si hay mas vidas ya que en algunas religiones eso es inconcebible.This book is one of the best books I have ever read, It makes you think and wonder about past life especially if you do not believe in that. I truly recommend this book.\r\n
1261;1;Magnifico libro: Brian Weiss ha dejado una magnifica guia para quienes no tienen mucha informacion acerca del Hipnotismo, La historia de Katerine es tan impresionante que podria ayudar a culquier persona que se ha hecho la pregunta mas de una vez sobre la continuidad de la vida.\r\n
1639;1;El libro mas completo que existe para nosotras,: las m,ujeres embarazadas o por embarazarnos...LO ABARCA TODO, DESDE LA CONCEPCION HASTA QUE EL BEBE CUMPLE UN AÑO...Dulce, sabio y ameno...\r\n
1745;1;Excelente!: Una excelente guía para todos aquellos que deseen concer más aobre el vino y su mundo. De forma amena y sencilla explica los principales conceptos y orienta sobre temas básicos como la elección del vino corecto, principales tipos de vino, cómo comprar vino en restaurantes o tiendas, etc.\r\n
2316;1;Nightwish is unique and rocks for eva: Moi to you all,Nightwish est vraiment le plus cool des bands. Unqiue pis des tounes supers orginales, ca ma faite découvrir le métal pis aucune autre band ma faite vribrer comme eux. À tous le monde cest un must buy.\r\n
2486;1;Palabras de aliento para tu caminar con Dios: Una vez mas Charles Swindoll llega al corazón del cristiano como tu y como yo. Nos alienta y nos da enseñanza de como enfrentar nuestros Gigantes, reconocer su origen y escudriñar en nuestro corazón para dar con esas espinas que han estado clavadas por mucho tiempo e impide que nuestro caminar con Dios sea firme. Prácticos y profundos principios para ayudarnos a ser mejores en nuestra casa, trabajo y en la iglesia.\r\n
2760;0;Completement nul: Fait sur commande et ennuyant a mourir, cette album est tout a fait parfait pour s'endormir...nul!\r\n
2903;1;fabuloso: mil gracias por el producto fabuloso recomiendo a este vendedor todo llego en perfectas condiciones excelentesaludos espero seguir contando con ustedes\r\n
2908;0;Geh: Blah blah, sexy girl, blah blah, fighting robots, blah blah, cliche action lines, blah blah, talking robots, blah blah blah.\r\n
3318;1;Excelentes botas.. excelentes boots: Excelente producto, quedo muy satisfecho con el producto y con Amazon, por la puntualidad en la entrega,la calidad del producto, zapatos muy comodos, resistentes. Excelente muy recomendable.\r\n
