Source: https://en.wikipedia.org/wiki/Belmont_Stakes;;;;;
Belmont Stakes winners since 1867;;;;;
Year;Winner;Jockey;Trainer;Owner;Time
2018;Justify;Mike Smith;Bob Baffert;China Horse Club, Head of Plains Partners, Starlight Racing, Winstar;02:28.0
2017;Tapwrit;Jose Ortiz;Todd Pletcher;Bridlewood Farm, Eclipse Thoroughbred Partners, Robert V. LaPenta;02:30.0
2016;Creator;Irad Ortiz Jr.;Steve Asmussen;WinStar Farm LLC;02:28.5
2015;American Pharoah;Victor Espinoza;Bob Baffert;Zayat Stables, LLC;02:26.7
2014;Tonalist;Joel Rosario;Christophe Clement;Robert S. Evans;02:28.5
2013;Palace Malice;Mike Smith;Todd Pletcher;Dogwood Stable;02:30.7
2012;Union Rags;John Velazquez;Michael Matz;Phyllis M. Wyeth;02:30.4
2011;Ruler on Ice;Jose Valdivia Jr.;Kelly Breen;George and Lori Hall;02:30.9
2010;Drosselmeyer;Mike Smith;William Mott;WinStar Farm LLC;02:31.6
2009;Summer Bird;Kent Desormeaux;Tim Ice;Kalarikkal & Vilasini Jayaraman;02:27.5
2008;Da'Tara;Alan Garcia;Nick Zito;Robert V. LaPenta;02:29.7
2007;Rags to Riches;John Velazquez;Todd Pletcher;M. Tabor & D. Smith;02:28.7
2006;Jazil;Fernando Jara;Kiaran McLaughlin;Shadwell Farm;02:27.9
2005;Afleet Alex;Jeremy Rose;Timothy Ritchey;Cash is King LLC;02:28.7
2004;Birdstone;Edgar Prado;Nick Zito;Marylou Whitney Stables;02:27.5
2003;Empire Maker;Jerry Bailey;Robert Frankel;Juddmonte Farms;02:28.3
2002;Sarava;Edgar Prado;Kenneth McPeek;New Phoenix Stable;02:29.7
2001;Point Given;Gary Stevens;Bob Baffert;The Thoroughbred Corp.;02:26.6
2000;Commendable;Pat Day;D. Wayne Lukas;Bob & Beverly Lewis;02:31.2
1999;Lemon Drop Kid;Jose Santos;Scotty Schulhofer;Jeanne G. Vance;02:27.9
1998;Victory Gallop;Gary Stevens;W. Elliott Walden;Prestonwood Farm;02:29.2
1997;Touch Gold;Chris McCarron;David Hofmans;Frank Stronach;02:28.8
1996;Editor's Note;Rene R. Douglas;D. Wayne Lukas;Overbrook Farm;02:29.0
1995;Thunder Gulch;Gary Stevens;;Michael Tabor;02:32.0
1994;Tabasco Cat;Pat Day;;Reynolds/Overbrook;02:26.8
1993;Colonial Affair;Julie Krone;Scotty Schulhofer;Centennial Farms;02:30.0
1992;A.P. Indy;Ed Delahoussaye;Neil Drysdale;Tomonori Tsurumaki;02:26.1
1991;Hansel;Jerry Bailey;Frank L. Brothers;Lazy Lane Farm;02:28.1
1990;Go And Go;Michael Kinane;Dermot K. Weld;Moyglare Stud Farm;02:27.2
