Temperature - (Celsius),Year,Month,Day,Statistics,Country,ISO3
22.3364,1901,Jan,1,Average,El Salvador,SLV
23.0842,1901,Feb,1,Average,El Salvador,SLV
24.3668,1901,Mar,1,Average,El Salvador,SLV
24.918,1901,Apr,1,Average,El Salvador,SLV
24.9237,1901,May,1,Average,El Salvador,SLV
24.2439,1901,Jun,1,Average,El Salvador,SLV
24.2394,1901,Jul,1,Average,El Salvador,SLV
24.068,1901,Aug,1,Average,El Salvador,SLV
23.5726,1901,Sep,1,Average,El Salvador,SLV
23.4659,1901,Oct,1,Average,El Salvador,SLV
22.2034,1901,Nov,1,Average,El Salvador,SLV
22.0481,1901,Dec,1,Average,El Salvador,SLV
21.0841,1902,Jan,1,Average,El Salvador,SLV
22.5842,1902,Feb,1,Average,El Salvador,SLV
25.3988,1902,Mar,1,Average,El Salvador,SLV
24.9723,1902,Apr,1,Average,El Salvador,SLV
25.3713,1902,May,1,Average,El Salvador,SLV
24.0258,1902,Jun,1,Average,El Salvador,SLV
24.6394,1902,Jul,1,Average,El Salvador,SLV
22.8715,1902,Aug,1,Average,El Salvador,SLV
25.0135,1902,Sep,1,Average,El Salvador,SLV
24.0887,1902,Oct,1,Average,El Salvador,SLV
23.6784,1902,Nov,1,Average,El Salvador,SLV
22.4703,1902,Dec,1,Average,El Salvador,SLV
22.9431,1903,Jan,1,Average,El Salvador,SLV
24.8137,1903,Feb,1,Average,El Salvador,SLV
24.9553,1903,Mar,1,Average,El Salvador,SLV
24.6018,1903,Apr,1,Average,El Salvador,SLV
24.2418,1903,May,1,Average,El Salvador,SLV
25.1796,1903,Jun,1,Average,El Salvador,SLV
24.8394,1903,Jul,1,Average,El Salvador,SLV
24.368,1903,Aug,1,Average,El Salvador,SLV
24.6985,1903,Sep,1,Average,El Salvador,SLV
23.1592,1903,Oct,1,Average,El Salvador,SLV
21.8054,1903,Nov,1,Average,El Salvador,SLV
20.7434,1903,Dec,1,Average,El Salvador,SLV
22.425,1904,Jan,1,Average,El Salvador,SLV
23.1728,1904,Feb,1,Average,El Salvador,SLV
24.3077,1904,Mar,1,Average,El Salvador,SLV
25.2723,1904,Apr,1,Average,El Salvador,SLV
24.9827,1904,May,1,Average,El Salvador,SLV
24.1553,1904,Jun,1,Average,El Salvador,SLV
24.2394,1904,Jul,1,Average,El Salvador,SLV
23.8908,1904,Aug,1,Average,El Salvador,SLV
23.5135,1904,Sep,1,Average,El Salvador,SLV
23.2001,1904,Oct,1,Average,El Salvador,SLV
22.4692,1904,Nov,1,Average,El Salvador,SLV
22.3434,1904,Dec,1,Average,El Salvador,SLV
21.8935,1905,Jan,1,Average,El Salvador,SLV
23.2613,1905,Feb,1,Average,El Salvador,SLV
24.4849,1905,Mar,1,Average,El Salvador,SLV
25.1542,1905,Apr,1,Average,El Salvador,SLV
25.4552,1905,May,1,Average,El Salvador,SLV
24.4801,1905,Jun,1,Average,El Salvador,SLV
24.2394,1905,Jul,1,Average,El Salvador,SLV
24.127,1905,Aug,1,Average,El Salvador,SLV
23.7202,1905,Sep,1,Average,El Salvador,SLV
23.584,1905,Oct,1,Average,El Salvador,SLV
22.853,1905,Nov,1,Average,El Salvador,SLV
22.4319,1905,Dec,1,Average,El Salvador,SLV
21.1021,1906,Jan,1,Average,El Salvador,SLV
21.6752,1906,Feb,1,Average,El Salvador,SLV
23.5849,1906,Mar,1,Average,El Salvador,SLV
24.2018,1906,Apr,1,Average,El Salvador,SLV
24.9418,1906,May,1,Average,El Salvador,SLV
23.7553,1906,Jun,1,Average,El Salvador,SLV
24.5394,1906,Jul,1,Average,El Salvador,SLV
23.9384,1906,Aug,1,Average,El Salvador,SLV
24.2161,1906,Sep,1,Average,El Salvador,SLV
23.472,1906,Oct,1,Average,El Salvador,SLV
22.9759,1906,Nov,1,Average,El Salvador,SLV
21.704,1906,Dec,1,Average,El Salvador,SLV
22.9841,1907,Jan,1,Average,El Salvador,SLV
22.6842,1907,Feb,1,Average,El Salvador,SLV
24.3529,1907,Mar,1,Average,El Salvador,SLV
25.0428,1907,Apr,1,Average,El Salvador,SLV
25.0008,1907,May,1,Average,El Salvador,SLV
23.9258,1907,Jun,1,Average,El Salvador,SLV
23.3394,1907,Jul,1,Average,El Salvador,SLV
23.1073,1907,Aug,1,Average,El Salvador,SLV
23.1081,1907,Sep,1,Average,El Salvador,SLV
23.272,1907,Oct,1,Average,El Salvador,SLV
23.2042,1907,Nov,1,Average,El Salvador,SLV
21.8827,1907,Dec,1,Average,El Salvador,SLV
21.3431,1908,Jan,1,Average,El Salvador,SLV
21.9867,1908,Feb,1,Average,El Salvador,SLV
24.4553,1908,Mar,1,Average,El Salvador,SLV
26.3018,1908,Apr,1,Average,El Salvador,SLV
25.8418,1908,May,1,Average,El Salvador,SLV
24.2938,1908,Jun,1,Average,El Salvador,SLV
24.1394,1908,Jul,1,Average,El Salvador,SLV
23.7384,1908,Aug,1,Average,El Salvador,SLV
