CODIGO,NOMBRE,LATITUD,LONGITUD
2011028,"CONSTRUCCIÓN PUENTE SAN ISIDRO SOBRE RÍO LEMPA (KM. 75.5 LIB31N), LA LIBERTAD - CHALATENANGO",14.049783,-89.33935
2011087,"DISEÑO Y CONSTRUCCION DEL PROYECTO: CONSTRUCCIÓN DE PUENTE SOBRE RÍO ANGUIATÚ, FRONTERA TERRESTRE ANGUIATÚ, MUNICIPIO DE METAPAN, DEPARTAMENTO DE SANTA ANA",14.411994,-89.437086
2011166,"DISEÑO FINAL DEL MEJORAMIENTO CAMINO TERCIARIO CAB18E, ENTRE CINQUERA - TEJUTEPEQUE, CABAÑAS",13.887986,-88.958717
2011208,"DISEÑO Y CONSTRUCCION AMPLIACION DE LA CARRETERA CA04S; TRAMO II: ENTRE KM 22.36 SALIDA SUR DE ZARAGOZA KM 31.86 INICIO BY PASS DE LA LIBERTAD, DEPARTAMENTO DE LA LIBERTAD, ESTACIONES 10+400 A 15+800",13.576953,-89.287967
2011210,"DISEÑO Y CONSTRUCCION AMPLIACION DE LA CARRETERA CA04S; TRAMO II: ENTRE KM 22.36 SALIDA SUR DE ZARAGOZA KM 31.86 INICIO BY PASS DE LA LIBERTAD, DEPARTAMENTO DE LA LIBERTAD, ESTACIONES 15+800 A 21+300",13.516917,-89.306383
2011211,"DISEÑO Y CONSTRUCCION DEL PROYECTO: CONSTRUCCIÓN DE PUENTE AGUA CALIENTE, SOBRE RIO ACELHUATE, RUTA RN02E, MUNICIPIO DE SAN SALVADOR",13.708192,-89.165314
2011214,"DISEÑO Y CONSTRUCCION AMPLIACION DE LA CARRETERA CA04S; TRAMO III CONSTRUCCION DE BY PASS DE LA LIBERTAD ENTRE KM 31.86 CARRETERA CA04S-KM 35 CARRETERA CA02W, DEPARTAMENTO DE LA LIBERTAD. ESTACIONES 0+000 A 2+100",13.496558,-89.32017
2011215,"DISEÑO Y CONSTRUCCION AMPLIACION DE LA CARRETERA CA04S; TRAMO III CONSTRUCCION DE BY PASS DE LA LIBERTAD ENTRE KM 31.86 CARRETERA CA04S-KM 35 CARRETERA CA02W, DEPARTAMENTO DE LA LIBERTAD. ESTACIONES 2+100 A 2+480",13.494372,-89.325672
2011216,"DISEÑO Y CONSTRUCCION AMPLIACION DE LA CARRETERA CA04S; TRAMO III CONSTRUCCION DE BY PASS DE LA LIBERTAD ENTRE KM 31.86 CARRETERA CA04S-KM 35 CARRETERA CA02W, DEPARTAMENTO DE LA LIBERTAD. ESTACIONES 2+480 A 4+873.59",13.491081,-89.332911
2011217,"DISEÑO Y CONSTRUCCION MEJORAMIENTO DE CALLE DE ACCESO AL MALECON DE LA UNION, DESDE  7° CALLE ORIENTE Y 3° AV. NORTE HASTA 3° CALLE ORIENTE Y 13 AV. NORTE, MUNICIPIO Y DEPARTAMENTO DE LA UNION",13.3378,-87.839972
2011219,"DISEÑO Y CONSTRUCCION DEL PROYECTO DENOMINADO MEJORAMIENTO DEL CAMINO RURAL USU08S, TRAMO CA02E DESVIO SAN MARCOS LEMPA-DESVIO EL ZAMORAN, MUNICIPIO DE JIQUILISCO, DEPARTAMENTO DE USULUTAN ",13.420767,-88.69795
